"Name","NCBITaxonName","NCBITaxonID","Soil type","Max THI","Min temperature  (°C)","Max temperature (°C)","Average temperature  (°C)","Min precipitation (mm)","Max precipitation (mm)","Average precipitation (mm)","Min elevation (masl)","Max elevation (masl)","Bibliographic resource","ID"
"Rice","Oryza sativa","4530","Fluvisols, cambisols and acrisols"," ","26,5","29,3","27,9","1287,60","2832,80","2.060,20"," ","<250","(Dinh, T., & Dang, T, 2022);(Cramb et al., 2015)","EAP_Lowland_Rice"
"Wheat","Triticum aestivum","4565","Clay loam"," ","6,4","21,6","28,7","300","550"," ","1500","2.9","(Nicole D Jackson et al., 2021)","EAP_Temperate_Mixed"
"Maize","Zea mays","4577","Loamy sand"," ","6,2","42","30,8","300","550"," ","700","1.4","(Nicole D Jackson et al., 2021)","EAP_Temperate_Mixed"
"Maize","Zea mays","4577","loamy sand to clay loam"," ","10","32","19","450","600"," "," "," ","(du Plessis, 2003)","EAP_Upland_Intensive"
"Pulses"," "," ","Loamy soil"," ","20","25","30","350","600"," ","0","1.6","(K. Zahedi et al ., 2020)","EAP_Temperate_Mixed"
"Livestock"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Rice","Oryza sativa","4530","Clay or clay loams"," ","10","38","22","1","1.7"," ","700","1.1","(FAO, 2018); (Taylor et al., 2016)","EAP_Upland_Intensive"
"Pulses (green gram)","Vigna radiata var. radiata","3916","Well-drained loamy soils"," ","30","40"," ","600","1"," ","0","2","(Asia Farming, 2021)","EAP_Upland_Intensive"
"Sugarcane","Saccharum hybrid cultivar","128810","Sandy loam"," ","20","35"," ","1.1","1.5"," ","0","3","(DAFF, 2014)","EAP_Upland_Intensive"
"Oilseeds (palm oil)"," "," ","Various"," ","22","33"," "," ","2","2.5"," "," ","(Abubakar et al., 2021)","EAP_Upland_Intensive"
"Cacao trees","Theobroma cacao","3641","Red laterite soils, clay loam soil, sandy loam soil."," ","18","32","25","1000","2","1500"," ","1.2","(Department of Agriculture and Fisheries QLD, 2015); (TNAU Agritech portal, 2013); (Agri farming, 2018)  ","LAC_Coastal_Plantation_Mixed"
"Arabica Coffee","Coffea arabica","13443","Shallow soils (Sandy loam) with good organic matter to virgin soils on steep mountain slopes or flatlands"," ","15","24","20","1500","2","1750","1000","2","(J. Grabs, 2020); (Agri farming, 2018)  ","LAC_Coastal_Plantation_Mixed"
"Robusta Coffee","Coffea canephora","49390","Shallow soils (Sandy loam) with good organic matter to virgin soils on steep mountain slopes or flatlands"," ","22","26","24"," "," ","2000","<800","800","(J. Grabs, 2020); (Agri farming, 2018)  ","LAC_Coastal_Plantation_Mixed"
"Inshore fishing"," "," "," "," "," "," "," "," "," "," "," "," "," ","LAC_Coastal_Plantation_Mixed"
"Maize","Zea mays","4577","Mollisol"," ","13,5","18,5","16","600","1.2","900","940","3.4","(Salhuana et al., 1997)","LAC_Dryland_Mixed"
