"From","Link type","To","Description","Bibliographic resources","Tags","Type","Connection"
"Increase in drought events","Leads to","Soil salinisation"," Severe drought years such as 1977–1978, 1997–1998, 2015–2016 and 2019–2020 are all related to El Niño events, which greatly affect production. During low river flow periods in Mekong Delta, between March and April, saline water intrudes up to 40–50 km inland from estuaries through main river systems  and about 100,000 ha of rice annually is at high risk of dry-season salinity intrusion. ",,"Maritime related","EAP_Lowland_Rice",
"Rising sea levels","Leads to","Soil salinisation"," The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050","(Thuy Le Toan, et al, 2021); (CCAFS,2016); (Nguyen, 2016; (Thuy Le Toan, et al, 2021); (Eslami et al., 2019); (Smajgl et al., 2015)","Maritime related","EAP_Lowland_Rice",
"Increase in average precipitation","Leads to","Increased flooding
","Seasonal river flooding, which coincides with the rainy season that runs from May to November, plays a critical role in the health of the Mekong river system. These floods deposit sediments, which improve soil fertility, flush out polluted waters, and recharge the groundwater tables. However, excessive flooding during the rainy season are becoming more frequent, and structural elements are not expected to hold up under an increasingly severe climate regime, which is driving sea-level rise (SLR) and changing meteorological and hydrological conditions.Changes in climate are also causing flooding and drought in Lao PDR ","(CCAFS,2016)(Nguyen et al., 2017),(Thuy Le Toan, et al, 2021)(Chapman & Darby, 2016),(Ling et al., 2015)","Rainfall related","EAP_Lowland_Rice",
"Increase in average precipitation","Leads to","Siltation/sedimentation of rivers","Floods deposit sediments downstream in the rice fields. The floods  improve soil fertility, flush out polluted waters, and recharge the groundwater tables.","(CCAFS,2016); (Nguyen et al., 2017); (Thuy Le Toan, et al, 2021); (Chapman & Darby, 2016)","Rainfall related","EAP_Lowland_Rice",
"Decrease in average precipitation","Leads to","Reduced crop productivity/failure","  Rainfall is greatly reduced in the Mekong and Red River deltas in the dry season. The annual rainy season tends to start late and to end early, resulting in a decrease in rainfall and runoff.  Reduced rainfall causes thousands of hectares of rice in the spring crop to suffer from drought or from reduction in irrigation water every year.","(CCAFS,2016); (Nguyen et al., 2017)); (Thuy Le Toan, et al, 2021); (Dinh, T., & Dang, T, 2022) ","Rainfall related","EAP_Lowland_Rice",
"Decrease in average precipitation","Leads to","Water scarcity","The Mekong Delta is identified as water-risk “hotspots” that require a targeted policy response. These water risks are not only the result of precipitation changes but involve a range of factors, including farming practices, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping.","(CCAFS,2016); (Dinh, T., & Dang, T, 2022);  (Akam & Gruere, 2018)","Rainfall related","EAP_Lowland_Rice",
"Rising sea levels","Leads to","Reduced crop productivity/failure","A rise in the sea level of only 30 cm could see the loss of nearly 200,000hectares of rice cultivation. Vast tracks of land planted with rice are affected by salinity intrusion  causing reduved yield by  50-100%, or total loss. Sea level rise has adverse effect on the agricultural productivity especially in the deltas. ","(CCAFS,2016); (Nguyen et al., 2017)","Maritime related","EAP_Lowland_Rice",
"Rising sea levels","Leads to","Change in production zone suitability","Weather extremes, flood patterns, and saline intrusion will change in all agro-ecological zones, but the changes vary from North to South, and from
coastal to inland areas, affecting the habitat suitability of rice and other major crops. Thiscould have drastic effects on crop distribution
in the future. The mainthreats for rice cultivation in the Deltas are relative sea level rise and increased saline intrusions.","(CCAFS,2016); (Thuy Le Toan, et al, 2021)(Smajgl et al , 2015)","Maritime related","EAP_Lowland_Rice",
"Increase in drought events","Leads to","Reduced groundwater tables","An increase in drought events leads to a reduction in annual surface runoff causing a  decrease in ground and surface water with a negative effect on agriculture and water supply for industrial use.","Dinh, T., & Dang, T, 2022","Rainfall related"," ",
"Increase in drought events","Leads to","Water scarcity","The Lower Mekong Basin (LMB) has experienced some severe droughts in the past three decades and these droughts inflicted significant  harmful levels of salinity intrusion, and widespread shortage for domestic and industrial water use. Notably, droughts in 1991–1994 and 2015–2016 were the longest and driest droughts, respectively leading to water scarcity.","H Kang  et al.,2021","Rainfall related"," ",
"Rising sea levels","Leads to","Saline intrusion","Salt intrusion due to sea level rise has already caused agricultural productivity to decrease and rice production to decline. One particular severe salinity intrusion in 2016 affected 270,000 hectares of rice.","Sun Narin, 2022","Maritime related"," ",
"Decrease in average precipitation","Leads to","Shorter growing seasons","A simulation study showed that the start of the rice growing period (SGP) was delayed with reduced early rainfall during the 16-year period, leading to shorter growing seasons. The crop yield depends on rainfall distribution during growth, and the lack of irrigation water in the region makes this production system highly vulnerable to changes in precipitation.","Sukanya Sujariya et al., 2020","Rainfall related"," ",
"Rising sea levels","Leads to","Coastal inundation","Dangers of sea-level rise include but are not limited to: land loss from the permanent inundation of low-lying coastal area.","Michalak, P. et al.,2021","Maritime related"," ",
"Increase in average temperatures","Leads to","Shorter growing seasons","Shifting seasons are directly linked to warmer global temperatures: a slight change in temperature brings an earlier spring thaw and delays and water stress.","T HORIE, 2019","Temperature related"," ",
"Increase in average temperatures","Leads to","Water scarcity"," Increasing global temperatures are one of the main contributors to this problem of water scarcity in the region.","T HORIE, 2019","Temperature related"," ",
"Increase in average temperatures","Leads to","Reduced crop productivity/failure","Productivity drops by as much as 4% per degree when temperature rise above 27 degrees celsius.","(Cramb et al., 2015)","Temperature related"," ",
"Rising sea levels","Leads to","Reduced water quality","In vietnam,  the snakehead fish farms in Tra Vinh or oyster farming areas in  Ben Tre experienced poor water quality in their ponds, rivers and water supplying sources, which was caused by saline intrusion and droughts. Negative impacts could have been mitigated if timely environmental quality information were made available to farmers.","(Akam & Gruere, 2018);(CCAFS,2016)","Maritime related","EAP_Lowland_Rice",
"Rising sea levels","Leads to","Increase in food spoilage/wastage","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss.","((Nguyen et al., 2017); (CCAFS,2016); (Akam & Gruere, 2018); (Thuy Le Toan, et al, 2021); (Smajgl et al , 2015)","Maritime related","EAP_Lowland_Rice",
