"M49 Code";"Sub-region Code";"Intermediate Region Code";"Country or Area";"ISO-alpha3 Code"
"533";"419";"29";"Aruba";"ABW"
"4";"34";;"Afghanistan";"AFG"
"24";"202";"17";"Angola";"AGO"
"660";"419";"29";"Anguilla";"AIA"
"248";"154";;"Åland Islands";"ALA"
"8";"39";;"Albania";"ALB"
"20";"39";;"Andorra";"AND"
"784";"145";;"United Arab Emirates";"ARE"
"32";"419";"5";"Argentina";"ARG"
"51";"145";;"Armenia";"ARM"
"16";"61";;"American Samoa";"ASM"
"10";;;"Antarctica";"ATA"
"260";"202";"14";"French Southern Territories";"ATF"
"28";"419";"29";"Antigua and Barbuda";"ATG"
"36";"53";;"Australia";"AUS"
"40";"155";;"Austria";"AUT"
"31";"145";;"Azerbaijan";"AZE"
"108";"202";"14";"Burundi";"BDI"
"56";"155";;"Belgium";"BEL"
"204";"202";"11";"Benin";"BEN"
"535";"419";"29";"Bonaire, Sint Eustatius and Saba";"BES"
"854";"202";"11";"Burkina Faso";"BFA"
"50";"34";;"Bangladesh";"BGD"
"100";"151";;"Bulgaria";"BGR"
"48";"145";;"Bahrain";"BHR"
"44";"419";"29";"Bahamas";"BHS"
"70";"39";;"Bosnia and Herzegovina";"BIH"
"652";"419";"29";"Saint Barthélemy";"BLM"
"112";"151";;"Belarus";"BLR"
"84";"419";"13";"Belize";"BLZ"
"60";"21";;"Bermuda";"BMU"
"68";"419";"5";"Bolivia (Plurinational State of)";"BOL"
"76";"419";"5";"Brazil";"BRA"
"52";"419";"29";"Barbados";"BRB"
"96";"35";;"Brunei Darussalam";"BRN"
"64";"34";;"Bhutan";"BTN"
"74";"419";"5";"Bouvet Island";"BVT"
"72";"202";"18";"Botswana";"BWA"
"140";"202";"17";"Central African Republic";"CAF"
"124";"21";;"Canada";"CAN"
"166";"53";;"Cocos (Keeling) Islands";"CCK"
"756";"155";;"Switzerland";"CHE"
"152";"419";"5";"Chile";"CHL"
"156";"30";;"China";"CHN"
"384";"202";"11";"Côte d’Ivoire";"CIV"
"120";"202";"17";"Cameroon";"CMR"
"180";"202";"17";"Democratic Republic of the Congo";"COD"
"178";"202";"17";"Congo";"COG"
"184";"61";;"Cook Islands";"COK"
"170";"419";"5";"Colombia";"COL"
"174";"202";"14";"Comoros";"COM"
"132";"202";"11";"Cabo Verde";"CPV"
"188";"419";"13";"Costa Rica";"CRI"
"192";"419";"29";"Cuba";"CUB"
"531";"419";"29";"Curaçao";"CUW"
"162";"53";;"Christmas Island";"CXR"
"136";"419";"29";"Cayman Islands";"CYM"
"196";"145";;"Cyprus";"CYP"
"203";"151";;"Czechia";"CZE"
"276";"155";;"Germany";"DEU"
"262";"202";"14";"Djibouti";"DJI"
"212";"419";"29";"Dominica";"DMA"
"208";"154";;"Denmark";"DNK"
"214";"419";"29";"Dominican Republic";"DOM"
"12";"15";;"Algeria";"DZA"
"218";"419";"5";"Ecuador";"ECU"
"818";"15";;"Egypt";"EGY"
"232";"202";"14";"Eritrea";"ERI"
"732";"15";;"Western Sahara";"ESH"
"724";"39";;"Spain";"ESP"
"233";"154";;"Estonia";"EST"
"231";"202";"14";"Ethiopia";"ETH"
"246";"154";;"Finland";"FIN"
"242";"54";;"Fiji";"FJI"
"238";"419";"5";"Falkland Islands (Malvinas)";"FLK"
"250";"155";;"France";"FRA"
"234";"154";;"Faroe Islands";"FRO"
"583";"57";;"Micronesia (Federated States of)";"FSM"
"266";"202";"17";"Gabon";"GAB"
"826";"154";;"United Kingdom of Great Britain and Northern Ireland";"GBR"
"268";"145";;"Georgia";"GEO"
"831";"154";"830";"Guernsey";"GGY"
"288";"202";"11";"Ghana";"GHA"
"292";"39";;"Gibraltar";"GIB"
"324";"202";"11";"Guinea";"GIN"
"312";"419";"29";"Guadeloupe";"GLP"
