Name;NCBITaxonName;NCBITaxonID;Max THI;Min temperature  (°C);Max temperature (°C);Average temperature  (°C);Min precipitation (mm);Max precipitation (mm);Average precipitation (mm);Min elevation (masl);Max elevation (masl)
Rice;Oryza sativa;4530; ;26,5;29,3;27,9;1287,60;2832,80;2.060,20; ;<250
Wheat;Triticum aestivum;4565; ;6,4;21,6;28,7;300;550; ;1500;2.9
Maize;Zea mays;4577; ;6,2;42;30,8;300;550; ;700;1.4
Maize;Zea mays;4577; ;10;32;19;450;600; ; ; 
Pulses; ; ; ;20;25;30;350;600; ;0;1.6
Livestock; ; ; ; ; ; ; ; ; ; ; 
Rice;Oryza sativa;4530; ;10;38;22;1;1.7; ;700;1.1
Pulses (green gram);Vigna radiata var. radiata;3916; ;30;40; ;600;1; ;0;2
Sugarcane;Saccharum hybrid cultivar;128810; ;20;35; ;1.1;1.5; ;0;3
Oilseeds (palm oil); ; ; ;22;33; ; ;2;2.5; ; 
Cacao trees;Theobroma cacao;3641; ;18;32;25;1000;2;1500; ;1.2
Arabica Coffee;Coffea arabica;13443; ;15;24;20;1500;2;1750;1000;2
Robusta Coffee;Coffea canephora;49390; ;22;26;24; ; ;2000;<800;800
Inshore fishing; ; ; ; ; ; ; ; ; ; ; 
Maize;Zea mays;4577; ;13,5;18,5;16;600;1.2;900;940;3.4
Cassava;Manihot esculenta;3983; ;25;29;20;500;1500;1000;<1000;>1000
Livestock; ; ; ; ; ; ; ; ; ; ; 
Soybean;Glycine max;3847; ;13;30;25;500;900; ;0;2
Acai palm; ; ; ;11;33;25; ; ;1,800 - 2,300; ; 
Avocado;Persea americana;3435; ;16; ;18-26; ; ;1,200-1,800; ; 
Beef cattle;Bos taurus;9913;>74; ; ; ; ; ; ; ; 
Potato;Solanum tuberosum;4113; ;7;30;20;400;600;500;3300;3.8
Cañihua; ; ; ;10;28;19;500;800;650;3800;4.5
Quinoa;Chenopodium quinoa;63459; ;-8;38;15;250;1.5;875;3.8;4.5
Maize ;Zea mays;4577; ;18;27;23;600;1.1;850;2800;3300
Wheat;Triticum aestivum;4565; ;21;26;24;750;1000;875;2800;3300
Sheep;Ovis aries;9940; ; ; ; ; ; ; ; ; 
Sheep;Ovis aries;9940;93; ; ; ; ; ; ; ; 
Blueberries; ; ; ;-3;30; ;250;1; ;100;625
Bananas;Musa x paradisiaca;89151; ;16;38; ;1.2;2.2; ; ; 
Grapes;Vitaceae;3602; ;14;29;21;75;100; ; ; 
Avocado;Persea americana;3435; ;16; ;18-26; ; ;1,200-1,800; ; 
Asparagus;Asparagus;4685; ;15;26; ;60;100; ; ; 
Cattle;Bos taurus;9913;>74; ; ; ; ; ; ; ; 
Maize (Zea mays);Zea mays;4577; ;10;32;19;200;2; ;0;3.8
Dry beans; ; ; ;18;24; ;600;650; ;600;2
Coffee;Coffea;13442; ;10-19; ;17-22; ; ;1,400-1,800; ; 
Coffee (Coffea arabica);Coffea arabica;13443; ;14;26; ;1;2.7; ;1;2.1
Coffee (Coffea robusta);Coffea canephora;49390; ;21;25; ;2;3; ;200;300
Wheat;Triticum aestivum;4565; ;3,5;35; ;500;1;750;0;3.3
Barley;Hordeum vulgare;4513; ;5;27;15-17;390;430; ; ; 
Wheat;Triticum aestivum;4565; ;15;25;20;500;1.3;900;1500;3
Rice;Oryza sativa;4530; ;20;27;24;1150;3000;2075;1500;3
Corn;Zea mays subsp. mays;381124; ;18;27;23;600;1.1;850;1.5;3.6
Lentils;Lens culinaris;3864; ;18;30;24;350;550;450;1500;3500
Chickpeas;Cicer arietinum;3827; ;24;30;27;650;950;800;1500;2500
Sheep;Ovis aries;9940; ; ; ; ; ; ; ; ; 
Olives;Olea;4145; ;15;20;18;400;1;700;800;1
 Lentils;Lens culinaris;3864; ;18;30;24;350;550;450;1500;3.5
 Chickpeas;Cicer arietinum;3827; ;24;30;27;650;950;800;1.5;2.5
Rice;;;;21;30;26;1000;2;1500;2500;3
Wheat;;;;21;26;24;750;1000;880;1500;3
Maize;;;;22;30;26;500;900;700;1.5;2.5
Chickpea;;;;24;30;27;650;950;800;1500;2500
groundnut;;;;20;30;25;200;1;600;1000;1.5
pigeopea;;;;17;22;20;600;1.4;1000;50;2
Rice  (Oryza sativa);Oryza sativa;4530; ;10;42;24;1;3; ;0;3
Wheat (Triticum aestivum);Triticum aestivum;4565; ;3,5;35; ;500;1;750;0;3.3
Rice  (Oryza sativa);Oryza sativa;4530; ;10;42;24;1;3; ;0;3
Ago-pastoral;;;; ; ;;;450mm;800 mm;200;400
Maize;Zea mays;4577; ;18;32;23;300;1.2;650; ;3.8
Millet; ; ; ;25;35; ;250;700; ; ; 
Sorghum;Sorghum;4557; ;23;37; ;250;800;500; ;2
Cassava;Manihot esculenta;3983; ;22;33; ;300;500; ; ; 
Highland livestock-cereal;;;; ; ;mean of 14°C but varies with country; ; ;2200; ; 
Highland wheat-pulse;;;;6;24; ;600;800;;2200;3
Highland maize-based;;;; ; ; ;600;1.3; ;1.7;2.2
Highland mixed North African;;;; ; ; ; ; ; ; ;above 1700 m
Tea;;;;13–14;30;26,5;1.15;1.4; ;1500m;2100m
Coffee(Arabica);;;;18;23;20,5;1500;2000;1750;1000;2
Maize (Zea mays);;;;10;32;19;450;600;525; ; 
Sahelian subsystem;;;;21;35; ;100;200;150;200;400
Cassava ;;;;25;30;27,5; ; ;>1,000;500;2
Yams;;;; ; ;26.8 °C; ; ;1150;500;2
