"Name","FS name",FS macro region,"Resource ID","Resource year",Resource number
"Oilseeds (palm oil)","Upland Intensive Mixed",EAP,"Abubakar et al.","2021",1
"Cassava ","Root Crop",SSA,"Adjei-Nsiah et al.","2019",1
"Yam","Root Crop",SSA,"Adjei-Nsiah et al.","2019",1
"Cacao Tree","Coastal plantation and mixed ",LAC,"Agrifarm","2018",1
"Coffee (Coffea arabica)","Coastal plantation and mixed ",LAC,"Agrifarm","2018",1
"Coffee (Coffea robusta)","Coastal plantation and mixed ",LAC,"Agrifarm","2018",1
"Coffee (Coffea arabica)","Maize-beans (Mesoamerica)",LAC,"Ahmed et al.","2021",1
"Maize","Cereal-Root Crop Mixed",SSA,"Amir Kassam et al.","2022",1
"Millet","Cereal-Root Crop Mixed",SSA,"Amir Kassam et al.","2022",1
"Sorghum","Cereal-Root Crop Mixed",SSA,"Amir Kassam et al.","2022",1
"Cassava","Cereal-Root Crop Mixed",SSA,"Amir Kassam et al.","2022",1
"Pulse (green gram)","Upland Intensive Mixed",EAP,"Asia Farming","2021",1
"Blueberry","Irrigated",LAC,"Banados","2009",1
"Sahelian subsystem","Pastoral",SSA,"Biaye et al.","2020",1
"Asparagus","Irrigated",LAC,"CABI","2021",1
"Sahelian subsystem","Pastoral",SSA,"Camara et al.","2018",1
"Palm (Acai)","Forest based Livestock ",LAC,"CC Grow","2022",1
"Tea","Highland Perennial ",SSA,"Cheserek et al.","2015",1
"Tea","Highland Perennial ",SSA,"CIAT","2011",1
"Maize","Cereal-Root Crop Mixed",SSA,"Concern Worldwide","2017",1
"Millet","Cereal-Root Crop Mixed",SSA,"Concern Worldwide","2017",1
"Sorghum","Cereal-Root Crop Mixed",SSA,"Concern Worldwide","2017",1
"Cassava","Cereal-Root Crop Mixed",SSA,"Concern Worldwide","2017",1
"Grape","Irrigated",LAC,"Covarrubias and Thach","2015",1
"Rice","Lowland Rice",EAP,"Cramb et al.","2015",1
"Sugarcane","Upland Intensive Mixed",EAP,"DAFF","2014",1
"Wheat","Highland Mixed",MENA,"Demelash","2021",1
"Rice (Oryza sativa)","Rice-Wheat",SA,"Department of Agriculture and Cooperation and Farmers Welfare","2021",1
"Rice (Oryza sativa)","Rice",SA,"Department of Agriculture and Cooperation and Farmers Welfare","2021",1
"Wheat","Dryland mixed",MENA,"Department of Agriculture and Cooperation and Farmers Welfare","2021",2
"Wheat (Triticum aestivum)","Rice-Wheat",SA,"Department of Agriculture and Cooperation and Farmers Welfare","2021",2
"Cacao Tree","Coastal plantation and mixed ",LAC,"Department of Agriculture and Fisheries QLD","2015",1
"Barley","Dryland mixed",MENA,"Department of Agriculture, Forestry and Fisheries","2009",1
"Soybean","Forest based Livestock ",LAC,"Department of Agriculture, Forestry and Fisheries","2010",1
"Cattle (Beef)","Forest based Livestock ",LAC,"Diaz et al.","2020",1
"Cattle","Irrigated",LAC,"Diaz et al.","2020",1
"Rice","Lowland Rice",EAP,"Dinh and Dang","2022",1
"Ago-pastoral","Agro-Pastoral Millet/Sorghum",SSA,"Dixon et al.","2020",3
"Highland livestock-cereal","Highland Mixed",SSA,"Dixon et al.","2020",3
"Highland wheat-pulse","Highland Mixed",SSA,"Dixon et al.","2020",3
"Highland maize-based","Highland Mixed",SSA,"Dixon et al.","2020",3
"Highland mixed North African","Highland Mixed",SSA,"Dixon et al.","2020",3
"Maize","Upland Intensive Mixed",EAP,"du Plessis","2003",1
"Maize (Zea mays)","Maize-beans (Mesoamerica)",LAC,"du Plessis","2003",1
"Maize (Zea mays)","Maize Mixed ",SSA,"du Plessis","2003",1
"Cassava ","Root Crop",SSA,"Ezumah and Okigbo","1980",1
"Yam","Root Crop",SSA,"Ezumah and Okigbo","1980",1
"Coffee (Coffea arabica)","Maize-beans (Mesoamerica)",LAC,"FAO","2015",3
"Coffee (Coffea robusta)","Maize-beans (Mesoamerica)",LAC,"FAO","2015",3
