"FS name",FS macro region,"From","Link type","To","Description"
"Lowland Rice",EAP,"Increase in drought events","Leads to","Soil salinisation"," Severe drought years such as 1977–1978, 1997–1998, 2015–2016 and 2019–2020 are all related to El Niño events, which greatly affect production. During low river flow periods in Mekong Delta, between March and April, saline water intrudes up to 40–50 km inland from estuaries through main river systems  and about 100,000 ha of rice annually is at high risk of dry-season salinity intrusion. "
"Lowland Rice",EAP,"Rising sea levels","Leads to","Soil salinisation"," The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050"
"Lowland Rice",EAP,"Increase in average precipitation","Leads to","Increased flooding
","Seasonal river flooding, which coincides with the rainy season that runs from May to November, plays a critical role in the health of the Mekong river system. These floods deposit sediments, which improve soil fertility, flush out polluted waters, and recharge the groundwater tables. However, excessive flooding during the rainy season are becoming more frequent, and structural elements are not expected to hold up under an increasingly severe climate regime, which is driving sea-level rise (SLR) and changing meteorological and hydrological conditions.Changes in climate are also causing flooding and drought in Lao PDR "
"Lowland Rice",EAP,"Increase in average precipitation","Leads to","Siltation/sedimentation of rivers","Floods deposit sediments downstream in the rice fields. The floods  improve soil fertility, flush out polluted waters, and recharge the groundwater tables."
"Lowland Rice",EAP,"Decrease in average precipitation","Leads to","Reduced crop productivity/failure","  Rainfall is greatly reduced in the Mekong and Red River deltas in the dry season. The annual rainy season tends to start late and to end early, resulting in a decrease in rainfall and runoff.  Reduced rainfall causes thousands of hectares of rice in the spring crop to suffer from drought or from reduction in irrigation water every year."
"Lowland Rice",EAP,"Decrease in average precipitation","Leads to","Water scarcity","The Mekong Delta is identified as water-risk “hotspots” that require a targeted policy response. These water risks are not only the result of precipitation changes but involve a range of factors, including farming practices, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping."
"Lowland Rice",EAP,"Rising sea levels","Leads to","Reduced crop productivity/failure","A rise in the sea level of only 30 cm could see the loss of nearly 200,000hectares of rice cultivation. Vast tracks of land planted with rice are affected by salinity intrusion  causing reduved yield by  50-100%, or total loss. Sea level rise has adverse effect on the agricultural productivity especially in the deltas. "
"Lowland Rice",EAP,"Rising sea levels","Leads to","Change in production zone suitability","Weather extremes, flood patterns, and saline intrusion will change in all agro-ecological zones, but the changes vary from North to South, and from
coastal to inland areas, affecting the habitat suitability of rice and other major crops. Thiscould have drastic effects on crop distribution
in the future. The mainthreats for rice cultivation in the Deltas are relative sea level rise and increased saline intrusions."
"Lowland Rice",EAP,"Increase in drought events","Leads to","Reduced groundwater tables","An increase in drought events leads to a reduction in annual surface runoff causing a  decrease in ground and surface water with a negative effect on agriculture and water supply for industrial use."
"Lowland Rice",EAP,"Increase in drought events","Leads to","Water scarcity","The Lower Mekong Basin (LMB) has experienced some severe droughts in the past three decades and these droughts inflicted significant  harmful levels of salinity intrusion, and widespread shortage for domestic and industrial water use. Notably, droughts in 1991–1994 and 2015–2016 were the longest and driest droughts, respectively leading to water scarcity."
"Lowland Rice",EAP,"Rising sea levels","Leads to","Saline intrusion","Salt intrusion due to sea level rise has already caused agricultural productivity to decrease and rice production to decline. One particular severe salinity intrusion in 2016 affected 270,000 hectares of rice."
"Lowland Rice",EAP,"Decrease in average precipitation","Leads to","Shorter growing seasons","A simulation study showed that the start of the rice growing period (SGP) was delayed with reduced early rainfall during the 16-year period, leading to shorter growing seasons. The crop yield depends on rainfall distribution during growth, and the lack of irrigation water in the region makes this production system highly vulnerable to changes in precipitation."
"Lowland Rice",EAP,"Rising sea levels","Leads to","Coastal inundation","Dangers of sea-level rise include but are not limited to: land loss from the permanent inundation of low-lying coastal area."
"Lowland Rice",EAP,"Increase in average temperatures","Leads to","Shorter growing seasons","Shifting seasons are directly linked to warmer global temperatures: a slight change in temperature brings an earlier spring thaw and delays and water stress."
"Lowland Rice",EAP,"Increase in average temperatures","Leads to","Water scarcity"," Increasing global temperatures are one of the main contributors to this problem of water scarcity in the region."
"Lowland Rice",EAP,"Increase in average temperatures","Leads to","Reduced crop productivity/failure","Productivity drops by as much as 4% per degree when temperature rise above 27 degrees celsius."
"Lowland Rice",EAP,"Rising sea levels","Leads to","Reduced water quality","In vietnam,  the snakehead fish farms in Tra Vinh or oyster farming areas in  Ben Tre experienced poor water quality in their ponds, rivers and water supplying sources, which was caused by saline intrusion and droughts. Negative impacts could have been mitigated if timely environmental quality information were made available to farmers."
"Lowland Rice",EAP,"Rising sea levels","Leads to","Increase in food spoilage/wastage","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss."
"Lowland Rice",EAP,"Rising sea levels","Leads to","Increase in food insecurity","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss."
"Lowland Rice",EAP,"Increase in drought events","Leads to","Increase in food insecurity","The Lower Mekong River basin (LMB) has experienced droughts in recent decades, causing detrimental economic losses and food security conundrums."
"Lowland Rice",EAP,"Increase in drought events","Leads to","Dependence on food aid","Vietnam recorded an extreme drought event in 2019 in 5 of 13 provinces in the Mekong Delta, and an emergency was declared. New Zealand Embassy announced humanitarian aid, totalling US$50,000, to communities in Ben Tre Province affected by drought and saltwater intrusion."
"Lowland Rice",EAP,"Water scarcity","Leads to","Reduced crop productivity/failure","Rice production is increasingly constrained by water scarcity during drought events. Water scarcity is a contributing barrier to adoption of technology in the lowland system"
"Lowland Rice",EAP,"Soil salinisation","Leads to","Reduced crop productivity/failure"," The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050. Acid sulfate soils are forming as salty crusts on the soil surface in some
areas, because of high salinity levels of the water causing unfavourable condition for rice production."
"Lowland Rice",EAP,"Saline intrusion","Leads to","Reduced crop productivity/failure","It was shown that seawater intrusion was the major factor leading to regional differences in rice cropping systems and land use patterns. In the Mekong Delta region, the worst saline intrusion occurs in rice production due to failed monsoons, and climate change leading to reduced yields."
"Lowland Rice",EAP,"Land degradation","Leads to","Sediment starvation","Soil erosion due to land degradation has led to high levels of sediments starvations in the coastal zones of of Asia."
"Lowland Rice",EAP,"Water scarcity","Leads to","Increase in food insecurity"," Low yields due to rain-fed lowlands experiencing drought is a common problem throughout Asia, with an estimated 45% of the total rice area, leading to food insecurity."
"Lowland Rice",EAP,"Reduced crop productivity/failure","Leads to","Increase in food insecurity","Low rice yields due to rain-fed lowlands have led to increased food insecurity, Considering that rice production plays an important role in food security in East and Southeast Asia, based on historical data."
"Lowland Rice",EAP,"Soil salinisation","Leads to","Increase in food insecurity","In rice fields, soil salinity is often caused by inappropriate irrigation, mainly when saline water is directly used for irrigation, causing poor yields and hence food insecurity."
"Lowland Rice",EAP,"Saline intrusion","Leads to","Increase in food insecurity","One particular severe salinity intrusion in 2016 affected 270,000 hectares of rice, leading to increased food insecurity."
"Lowland Rice",EAP,"Land degradation","Leads to","Increase in food insecurity","Soil erosion due to land degradation has led to high levels of sediments starvations in the coastal zones of of Asia which causes poor yields and hence food insecurity."
"Lowland Rice",EAP,"Reduced crop productivity/failure","Leads to","Increase in food imports","Rice land is shrinking owing to industrialization, urbanization, crop diversification and other economic factors, leading to increase in imports."
"Lowland Rice",EAP,"Coastal inundation","Leads to","Increased flooding
","In South and Southeast Asia, where the majority of the world's rice farmers live, flooding is a major limitation on yield caused by inundation."
"Lowland Rice",EAP,"Elevation loss","Leads to","Damage to infrastructure","According to the IPCC's simulations, Asia, for example, is expected to experience damage to urban infrastructure due to flooding caused by elevation loss."
"Lowland Rice",EAP,"Coastal inundation","Leads to","Damage to infrastructure","The area's coastal regions are also susceptible to inundation associated with sea level rise and destruction of infrastructure from flooding and storm surges."
"Lowland Rice",EAP,"Elevation loss","Leads to","Increased flooding
","Elevation loss increases the vulnerability to flooding and storm surges, and ultimately threatens the Delta with permanent inundation. Without adaptation, land that will be below sea level may be permanently inundated and no longer suitable for agriculture."
"Lowland Rice",EAP,"Major component of local diet","Leads to","Dependence on food aid","The emergence of severe droughts in the Mekong Delta has resulted in huge crop failures, with 90% of sowed fields perishing in the drought-impacted regions.This devastating drought damaged up to 30% of 29,900 ha rice in2019"
"Lowland Rice",EAP,"Unsustainable land management practices","Leads to","Land degradation"," Continuous rice cultivation, using unbalanced mineral fertilisers and only low inputs of organic manure, is in some situations seriously deteriorating the physical and chemical properties of the soil with adverse consequences on crop yields. "
"Lowland Rice",EAP,"Limited uptake of modern technologies","Leads to","Reduced produce quality","On-farm deterioration in the quality of rice for sale, due to poor post-harvest management practices and inadequate storage conditions, is very significant in many areas and leads to reduced revenues from crop sales. "
"Lowland Rice",EAP,"Major component of local diet","Leads to","Increase in food insecurity","Rice is the major staple food of Asia, and an important source of employment, however its vulnerable to climatical conditions leading to increased food insecurity."
"Lowland Rice",EAP,"Unsustainable land management practices","Leads to","Reduced crop productivity/failure","Unsustainable land management practices in rice leads to reduced yields. "
"Lowland Rice",EAP,"Limited uptake of modern technologies","Leads to","Increase in food spoilage/wastage","Limited uptake of modern rice technologies leads to increase rice waste.For example, the PATBO SUPER is a special rice cultivation technology package for rainfed rice fields based on water management."
"Lowland Rice",EAP,"Dependence on groundwater","Leads to","Reduced groundwater tables","Overdependence of ground water tables results in falling groundwater tables, deteriorating water quality, environmental degradation, rising pumping costs, and lower crop yields."
"Lowland Rice",EAP,"Dependence on groundwater","Leads to","Saline intrusion","The main threats for rice cultivation in the Deltas are relative sea level rise and increased saline intrusions, and that both phenomena arise mainly from groundwater pumping and sand mining."
"Lowland Rice",EAP,"Inadequate climate information services","Leads to","Crop stress/damage/mortality","Information on lternative planting practices is lacking and farmers are only eligible for subsidies if they plant rice. Therefore, many farmers planted rice even though they know that it was risky. Hence, the competition for scarce water increased and resources, like seeds and fertilizer, were wasted."
"Lowland Rice",EAP,"Low access to markets","Leads to","Increase in food spoilage/wastage","Poor infrastructure causes delays leading to increase in food damage."
"Lowland Rice",EAP,"Large contributor to national/regional GDP","Leads to","Increase in food prices","The Mekong River Delta (MRD) is the rice basket of Vietnam producing 56% of the total domestic rice production and accounting for 90% of Vietnam’s rice export. However, since it's vulnerable to climatical conditions, it can lead to increased food prices.. "
"Lowland Rice",EAP,"Low access to markets","Leads to","Delays in transportation","Poor infrastructure causes delays, and delays at borders are another major concern."
"Lowland Rice",EAP,"Large contributor to national/regional GDP","Leads to","Increase in food imports","Since the Mekong River Delta (MRD) is the rice basket of Vietnam producing 56% of the total domestic rice production and accounting for 90% of Vietnam’s rice export, decline in its production can lead to increase in food imports."
"Lowland Rice",EAP," ","Leads to"," "," "
"Lowland Rice",EAP,"Water scarce area","Leads to","Reduced crop productivity/failure","Water scarcity in many eregions has resulted to  ground water pumping for irrigation"
"Lowland Rice",EAP,"Water scarce area","Leads to","Reduced groundwater tables","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities.These water risks are not only the result of climate change but involve a range of factors, including farming itself, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping."
"Lowland Rice",EAP,"Unfavourable soil conditions","Leads to","Reduced crop productivity/failure","The adoption of intensive methods of crop production, based on high levels of inorganic fertilisers and pesticides, has in many cases lowered the quality of soil and water resources. Continuous rice cultivation, using unbalanced mineral fertilisers and only low inputs of organic manure, is in some situations seriously deteriorating the physical and chemical properties of the soil with adverse consequences on crop yields."
"Lowland Rice",EAP,"Fragmented landscapes","Leads to","Increase in food insecurity","If land fragmentation is not reversed, an increasing proportion of farmers will be unable to rely on agriculture to ensure adequate food security and income levels thus leading to reduced on-farm employemnt migration to urban areas. "
"Lowland Rice",EAP,"Lack of access to improved crop varieties","Leads to","Reduced crop productivity/failure","High-yielding varieties are used in all countries, but some still have significant areas of lower yielding, traditional varieties because of their perceived higher grain quality and acceptability. "
"Lowland Rice",EAP,"Barrier to natural flows due to  infrastructure ","Leads to","Sediment starvation","Water holding strategy of upstream provinces may lead towater shortages in downstream regions. The water discharge in upstream of Mekong river declined by 900m3/s. Meanwhile, water levels in middle and downstream of Mekong River increased by 0.1 – 1.5m due to tidal rise. Salinity intrusion led to increased salinity of water in rivers and irrigation canals."
"Lowland Rice",EAP,"Lack of irrigation infrastructure ","Leads to","Reduced crop productivity/failure","There is limited scope for further expansion of irrigation systems. Only a few countries are in the fortunate position of under-exploiting their water resources. In some areas, serious shortages of irrigation water occur in the dry season. However, water use efficiencies are often low."
"Lowland Rice",EAP,"Lack of irrigation infrastructure ","Leads to","Increase in food insecurity","Rice is the major staple food of Asia, and an important source of food security , however, without irrigation its vulnerable to climate change conditions."
"Lowland Rice",EAP,"Poor efficiency of farming","Leads to","Reduced crop productivity/failure","Poor farming efficiency is a breeding ground for Weeds which reduce rice yield by competing for space, nutrients, light, and water, and by serving as hosts for pests and diseases."
"Lowland Rice",EAP,"Lack of access to improved crop varieties","Leads to","Increase in food insecurity"," Lack of stress-tolerant varieties in Asia significantly reduce rice yield and income leading to increased food insecurity."
"Lowland Rice",EAP,"Inadequate climate information services","Leads to","Unpredictable planting period","The crippling impacts of climate change are leaving rice farming systems at a critical state, causing unpredictable planting seasons."
"Lowland Rice",EAP,"Dependent on a single crop type","Leads to","Increase in food insecurity","Rice is the most important crop in Asia, providing a major portion of dietary contents, however, it's very vulnerable leading to increased food insecurity in the region."
"Lowland Rice",EAP,"Small farm size","Leads to","Increase in food insecurity","Small-scale producers grow most of the rice in Asia, playing a significant role in providing food security, jobs and income across the region. However, a combination of worsening inequality in food value chains and the crippling impacts of climate change is leaving rice farming systems at a critical juncture. These challenges threaten the future viability of rice production that underpins the livelihoods and primary food source for millions of people"
"Lowland Rice",EAP,"Poor efficiency of farming","Leads to","Reduced produce quality","On-farm deterioration in the quality of rice for sale, due to poor post-harvest management practices and inadequate storage conditions, is very significant in many areas and leads to reduced revenues from crop sales. There is limited scope for further expansion of irrigation systems. For instance Paddy produced in Myanmar is of extremely low quality because of labour shortages, the lack of mechanized options for harvesting, and field drying for up to 4 weeks before threshing"
"Lowland Rice",EAP,"Dependent on a single crop type","Is mitigated by","Diversify livelihoods","ome of the practices in diversifying farming systems included livestock, horticulture, annual and perennial trees combined with livestock. These however depend on a stable supply of water for irrigation.  Some farmers have shifted from rice farming to coconut/fruit tree farming and growing fodder grasses. "
"Lowland Rice",EAP,"Unsustainable land management practices","Is mitigated by","Implement climate smart agriculture practices





","Rice production contributes to greenhouse gas emissions.In 2010, paddy rice production emitted 44.61 million tons carbon dioxide equivalents (MtCO2e), 18% of total national GHG emissions. Alternate wetting and drying (AWD)a technique in which fields are allowed to dry out to a certain point before irrigation instances is proposed as a mitigation measure with a co-benefit of increasing income compared to conventional rice cultivation."
"Lowland Rice",EAP,"Inability to interpret climate information","Is mitigated by","Develop policies for building climate change resilience","The governments of East Asia should strengthen policies and build institutional capacity for the national and local levels to respond to climate change and help interpret climate information."
"Lowland Rice",EAP,"Inability to interpret climate information","Is mitigated by","Build capacity on usage of climate information","Analysis of rice yield gaps is needed to better understand how to sustainably increase rice production across Southeast Asia by adapting to climate change should be put in place. East Asia uses a modeling approach to map rice yield gaps and assess production potential and net exports by 2040."
"Lowland Rice",EAP,"Limited uptake of modern technologies","Is mitigated by","Improve access to modern processing technologies","The lack of uptake of scientifically recommended production technologies by many rice smallholders should be mitigated by improving access to modern processing technologies."
"Lowland Rice",EAP,"Poor efficiency of farming","Is mitigated by","Build the capacity of agricultural extension agents","It is expected that extension programs will help increase farm productivity, and farm revenue, reduce poverty and minimize food insecurity in the case of poor farming efficiency."
"Lowland Rice",EAP,"Unsustainable land management practices","Is mitigated by","Implement climate smart agriculture practices





","Unsustainable farming practices, such as the use of pesticides and intensive monocultures, can deplete soil nutrients, therefore  Climate-smart agriculture (CSA) should be adopted to manage landscapes—cropland, livestock, forests, and fisheries."
"Lowland Rice",EAP,"Major component of local diet","Is mitigated by","Adjust crop calendar
","Cropping calendar optimization contributes to an increase in rice yield because it’s a major component for the local diet."
"Lowland Rice",EAP,"Dependence on groundwater","Is mitigated by","Invest in water harvesting and storage infrastructure","Equipping households and institutions with water harvesting tanks and underground-borehole-like storage cisterns will help maximize on water harvesting and mitigate dependence on groundwater."
"Lowland Rice",EAP," ","Is mitigated by"," "," "
