"Label","Type","Type-2"
"Increase in average temperatures","EAP_Lowland_Rice","Temperature related"
"Rising sea levels","EAP_Lowland_Rice","Maritime related"
"Increase in drought events","EAP_Lowland_Rice","Rainfall related"
"Increase in average precipitation","EAP_Lowland_Rice","Rainfall related"
"Decrease in average precipitation","EAP_Lowland_Rice","Rainfall related"
"Saline intrusion","EAP_Lowland_Rice","Biophysical"
"Shorter growing seasons","EAP_Lowland_Rice","Biophysical"
"Increased flooding","EAP_Lowland_Rice","Biophysical"
"Water scarcity","EAP_Lowland_Rice","Biophysical"
"Reduced crop productivity/failure","EAP_Lowland_Rice","Biophysical"
"Soil salinisation","EAP_Lowland_Rice","Biophysical"
"Siltation/sedimentation of rivers","EAP_Lowland_Rice","Biophysical"
"Change in production zone suitability","EAP_Lowland_Rice","Biophysical"
"Reduced water quality","EAP_Lowland_Rice","Biophysical"
"Elevation loss","EAP_Lowland_Rice","Biophysical"
"Land degradation","EAP_Lowland_Rice","Biophysical"
"Reduced produce quality","EAP_Lowland_Rice","Biophysical"
"Sediment starvation","EAP_Lowland_Rice","Biophysical"
"Coastal inundation","EAP_Lowland_Rice","Biophysical"
"Increase in food spoilage/wastage","EAP_Lowland_Rice","Socioeconomic"
"Increase in food insecurity","EAP_Lowland_Rice","Socioeconomic"
"Dependence on food aid","EAP_Lowland_Rice","Socioeconomic"
"Limited uptake of modern technologies","EAP_Lowland_Rice","Human capital, gender and agricultural knowledge"
"Unsustainable natural resource use","EAP_Lowland_Rice","Human capital, gender and agricultural knowledge"
"Unsustainable land management practices","EAP_Lowland_Rice","Human capital, gender and agricultural knowledge"
"Dependence on groundwater","EAP_Lowland_Rice","Human capital, gender and agricultural knowledge"
"Major component of local diet","EAP_Lowland_Rice","Human capital, gender and agricultural knowledge"
"Inconsistencies in policy implementation","EAP_Lowland_Rice","Institutions and policies"
"Large contributor to national GDP","EAP_Lowland_Rice","Economic, financial and markets"
"Low access to markets","EAP_Lowland_Rice","Economic, financial and markets"
"Unfavourable soil conditions","EAP_Lowland_Rice","Sensitivity/"
"Water scarce area","EAP_Lowland_Rice","Sensitivity/"
"Fragmented landscapes","EAP_Lowland_Rice","Sensitivity/"
"Lack of irrigation infrastructure ","EAP_Lowland_Rice","Lack of capacity to cope and adapt"
"Barrier to natural flows due to  infrastructure ","EAP_Lowland_Rice","Lack of capacity to cope and adapt"
"Lack of access to improved crop varieties","EAP_Lowland_Rice","Lack of capacity to cope and adapt"
"Inadequate climate information services","EAP_Lowland_Rice","Lack of capacity to cope and adapt"
"Poor efficiency of farming","EAP_Lowland_Rice","Lack of capacity to cope and adapt"
"Dependent on a single crop type","EAP_Lowland_Rice","Lack of capacity to cope and adapt"
"Small farm size","EAP_Lowland_Rice","Lack of capacity to cope and adapt"
"Invest in irrigation infrastructure","EAP_Lowland_Rice","Physical capital"
"Structural adjustments","EAP_Lowland_Rice","Physical capital"
"Invest in water harvesting and storage infrastructure","EAP_Lowland_Rice","Physical capital"
"Diversify livelihoods","EAP_Lowland_Rice","Human capital"
"Implement water conservation irrigation","EAP_Lowland_Rice","Human capital"
"Implement climate smart agriculture practices","EAP_Lowland_Rice","Human capital"
"Adopt drought tolerant varieties","EAP_Lowland_Rice","Human capital"
"Improve climate change awareness","EAP_Lowland_Rice","Human capital"
"Adjust crop calendar","EAP_Lowland_Rice","Human capital"
"Invest in agricultural research and development","EAP_Lowland_Rice","Human capital"
"Plant multiple varieties","EAP_Lowland_Rice","Human capital"
"Implement efficient water management","EAP_Lowland_Rice","Human capital"
"Build the capacity of agricultural extension agents","EAP_Lowland_Rice","Political capital "
"Improve access to climate information services","EAP_Lowland_Rice","Political capital "
"Develop/improve early warning systems","EAP_Lowland_Rice","Political capital "
"Build capacity on usage of climate information","EAP_Lowland_Rice","Political capital "
"Improve interprovincial interventions","EAP_Lowland_Rice","Political capital "
"Develop policies for building climate change resilience","EAP_Lowland_Rice","Political capital "
"Improve access to input/output markets","EAP_Lowland_Rice","Financial capital"
"Farmers engaged in agri system","EAP_Lowland_Rice",""
"Area of land used","EAP_Lowland_Rice",""
"Food insecurity","EAP_Lowland_Rice",""
"Loss of livelihoods ","EAP_Lowland_Rice",""
"Chronic poverty ","EAP_Lowland_Rice",""
"Increase in frost events","EAP Temperate Mixed","Maritime related"
"Shorter growing season","EAP Temperate Mixed","Season related"
"Increase in extreme rainfall events","EAP Temperate Mixed","Rainfall related"
"Increase in hailstorms","EAP Temperate Mixed","Maritime related"
"Increase in tropical cyclones/hurricanes","EAP Temperate Mixed","Maritime related"
"Rising sea levels","EAP Temperate Mixed","Maritime related"
"Increase in drought events","EAP Temperate Mixed","Season related"
"Increase in strong winds","EAP Temperate Mixed","Wind related"
"Increase in average temperatures","EAP Temperate Mixed",""
"Land degradation","EAP Temperate Mixed","Biophysical"
"Reduced crop productivity/failure","EAP Temperate Mixed","Biophysical"
"Shorter growing seasons","EAP Temperate Mixed","Biophysical"
"Increase in crop productivity/yields","EAP Temperate Mixed","Biophysical"
"Increased flooding","EAP Temperate Mixed","Biophysical"
"Increased incidence of bushfires","EAP Temperate Mixed","Biophysical"
"Flash floods","EAP Temperate Mixed","Biophysical"
"Reduced livestock productivity","EAP Temperate Mixed","Biophysical"
"Livestock mortalities","EAP Temperate Mixed","Biophysical"
"Unpredictable planting period","EAP Temperate Mixed","Biophysical"
"Increase in diseases","EAP Temperate Mixed","Biophysical"
"Crop stress/damage/mortality","EAP Temperate Mixed","Biophysical"
"Soil erosion","EAP Temperate Mixed","Biophysical"
"Landslide events","EAP Temperate Mixed","Biophysical"
"Damage to infrastructure","EAP Temperate Mixed","Biophysical"
"Increase in food insecurity","EAP Temperate Mixed","Socioeconomic"
"Increase in food prices","EAP Temperate Mixed","Socioeconomic"
"Loss of income","EAP Temperate Mixed","Socioeconomic"
"Increase in poverty","EAP Temperate Mixed","Socioeconomic"
"Increase in migration","EAP Temperate Mixed","Socioeconomic"
"Increase in malnutrition","EAP Temperate Mixed","Socioeconomic"
"Competition for resources","EAP Temperate Mixed","Socioeconomic"
"Increase in livestock mobility","EAP Temperate Mixed","Socioeconomic"
"High poverty levels ","EAP Temperate Mixed","Human capital, gender and agricultural knowledge"
"Crop is highly susceptible to diseases ","EAP Temperate Mixed","Human capital, gender and agricultural knowledge"
"Animal/breed is highly susceptible to diseases ","EAP Temperate Mixed","Human capital, gender and agricultural knowledge"
"Reliance on rainfed agriculture","EAP Temperate Mixed","Human capital, gender and agricultural knowledge"
"Inadequate climate information services","EAP Temperate Mixed","Institutions and policies"
"Low access to markets","EAP Temperate Mixed","Economic, financial and markets"
"Unstable commodity prices","EAP Temperate Mixed","Economic, financial and markets"
"High prevalence of land degradation","EAP Temperate Mixed","Sensitivity/"
"Cultivation area prone to frost","EAP Temperate Mixed","Sensitivity/"
"Frequent bushfires","EAP Temperate Mixed","Sensitivity/"
"Lack of irrigation infrastructure ","EAP Temperate Mixed","Lack of capacity to cope and adapt"
"High poverty levels ","EAP Temperate Mixed","Lack of capacity to cope and adapt"
"Reliance on rainfed agriculture","EAP Temperate Mixed","Lack of capacity to cope and adapt"
"Low access to credit","EAP Temperate Mixed","Lack of capacity to cope and adapt"
"Lack of willingness to invest in sustainable agricultural practices","EAP Temperate Mixed","Lack of capacity to cope and adapt"
"Animal/breed is highly susceptible to pests","EAP Temperate Mixed","Lack of capacity to cope and adapt"
"Implement reforestation practices","EAP Temperate Mixed","Natural capital"
"Structural adjustments","EAP Temperate Mixed","Physical capital"
"Invest in road infrastructure","EAP Temperate Mixed","Physical capital"
"Invest in irrigation infrastructure","EAP Temperate Mixed","Physical capital"
"Invest in water harvesting and storage infrastructure","EAP Temperate Mixed","Physical capital"
"Improve climate change awareness","EAP Temperate Mixed","Human capital"
"Diversify livelihoods","EAP Temperate Mixed","Human capital"
"Migration","EAP Temperate Mixed","Human capital"
"Invest in agricultural research and development","EAP Temperate Mixed","Human capital"
"Diversify livestock ","EAP Temperate Mixed","Human capital"
"Capacity building on sustainable agricultural practices","EAP Temperate Mixed","Human capital"
"Implement climate smart agriculture practices","EAP Temperate Mixed","Human capital"
"Livestock mobility to semi-arid/sub-humid zones","EAP Temperate Mixed","Human capital"
"Adopt disease tolerant breeds","EAP Temperate Mixed","Human capital"
"Adopt disease tolerant varieties","EAP Temperate Mixed","Human capital"
"Adjust crop calendar","EAP Temperate Mixed","Human capital"
"Adopt drought tolerant varieties","EAP Temperate Mixed","Human capital"
"Apply integrated pest and diseases management","EAP Temperate Mixed","Human capital"
"Establish farmer organisations","EAP Temperate Mixed","Social capital"
"Establish water user associations","EAP Temperate Mixed","Social capital"
