"Farming system",Macro region,"Agro-ecological zone","Total area (m ha) ","Cultivated area (m ha)","Cattle population (m head)","Irrigated area (m ha)","Total population (m)","Agricultural population (m)","Farm size (ha)","Irrigated/rainfed","Description"
"Roland Rice",,"humid and moist subhumid ","197","71","52","33","825","474","197","Irrigated and rainfed","The lowland rice farming system is found in both humid and moist subhumid agro-ecological zones in well-watered mainly flat landscapes. Its the most populous system in the East Asia  and Pacific. It covers estimated 197 million ha with an agricultural population of 474 million. Cultivated area is 71 million ha, of which about 45 percent are irrigated. Large areas of this system are found in Thailand, Vietnam, Myanmar, South and Central East China, Philippines and Indonesia. Smaller areas are located in Cambodia, Korea DPR, Republic of Korea, Laos DPR and Malaysia (Dixon,et al., 2001;Cramb et al., 2015).
 The farming system is dominantly rice-based. Diversification includes field crops, vegetables,fruits, small livestock and aquaculture farming.  The cropping intensity in lowland farming system is dependent on rainfall distribution, length of growing season and the availability of supplementary irrigation(Dixon,et al., 2001;Cramb et al., 2015. In addition to rice farming livestock and off-farm income contribute to household livelihoods.
In many areas, the productivity of livestock within this farming system is low because of extensive management practices.Cattle and buffaloes are integrated into the systems, providing draught, dung, and occasional income (Cramb et al.,2015).However, there are opportunities to intensify small animal production enterprises in different regions.
The regional food security depends upon the production from this system. Poverty prevalence is moderate in most countries, although it is extensive in Mynamar and Cambodia (Dixon,et al., 2001).  Unemployment rate is above 40% in the region and the agriculture is an important income sector in all these countries.The productivity constraints for rice and non-rice crops are drought, flooding, saline instrusion,low soil fertility and inadequate production infrastructure (Dixon,et al., 2001; Cramb et al., 2015;CCAFS, 2016; Thuy Le Toan et al., 2021)).  Enhaced access to markets and the growing demand for non-rice crops and fodder has created opportunities for intensification and diversification in the region(Cramb et al., 2015).  Climate smart agriculture practices such as Alternate Wetting and Drying irrigation of rice fields are also measure being taken to address climate risks and vulnerabilities(Dixon,et al., 2001; Cramb et al., 2015; Akam & Gruere, 2018)."
"Temperate Mixed (EAP)",," Dry sub-humid","99"," "," "," "," "," ","0.3-1","rainfed,irrigated","Temperate mixed farming system is found in moist and dry sub-humid agroecological zones in Central-Northern China and restricted areas of Mongolia, with a total system area of 99 million ha. The transitional boundary between this system and the lowland rice farming System in central-eastern China is not easily defined, and the system also blends into the extensive cereal-livestock farming system of southern Siberia and parts of Central Asia. Major crops are wheat and maize, with smaller areas of rice, cotton, soybeans, sweet potato and rape, depending on local temperature and water conditions; as well as citrus and some temperate fruits. Livestock are also important, particularly cattle, pigs and poultry. The prevalence of poverty is moderate. The preferred staple food throughout the region is wheat noodles. There are two main sub-systems: the Loess Plateau Sub-System, involving mixed farming of both summer and winter crops; and the Northern Sub-System, in Northeast China, Korea DPR and restricted parts of Mongolia where the climate only permits cropping during the summer. Both are characterised by rainfall being concentrated in the summer months and by severe frosts in winter, particularly in the northern areas. Average farm size ranges from as little as 0.3 ha in the Loess Plateau of China to several hectares further north, where it gradually blends into the Pastoral Farming System. Average household size is approximately four to five persons.
In the Loess Plateau of China, wheat and rape are the main winter crops; while maize, rice, cotton, soybeans and sweet potato are the main summer crops. Cropping intensity is about 150 percent. Crops are grown under both irrigated and rainfed conditions. In the Northern Sub-System (Northeastern China, Korea DPR and Mongolia), because cropping is possible only during the summer, wheat (0.5 m ha in Korea DPR and Mongolia) and other cereals are grown concurrently and compete for cultivated land. Yields are lower in these zones due to adverse climatic conditions, and cereals may be supplemented by cold-resistant crops such as potatoes and cabbage. The higher yields in China are due to crops being grown with high organic and inorganic fertiliser inputs and intensive pest control practices. In this system, overall cropping intensity is high and scope for expansion of land area is limited. Livestock are also an important component of the system: particularly cattle for draught power, and pigs, small ruminants and poultry for meat.  Livestock are reared and managed under extensive conditions in most countries. More intensive production systems are found in China, however, especially for pigs and poultry (Dixon et al.,2001)
"
"Upland intensive mixed (EAP)",,"humid and subhumid ","314"," "," "," "," "," "," ","Rainfed","The upland intensive mixed agricultural system covers an area of 314 million ha in East Asia and the Pacific Islands. It is the most widespread and heterogenous farming system in the region (Dixon et al., 2001). The system is found in upland areas and hilly landscapes with moderate altitudes and moderate to steep slopes. The agro-ecological zones are classified as humid and subhumid (Dixon et al., 2001). 

The natural environment is fragile with steep slopes, high rainfall intensity, seasonal dry periods and shallow erodible soils of low fertility (Schreinemachers et al., 2013). Irrigation is uncommon, with less than 25% of the land irrigated (Dixon et al., 2001). To counter the steep gradients, simple terracing is used, although in some areas, such as the Philippines and Indonesia, the terracing is better developed. Soil and water conservation structures are typically absent (Dixon et al., 2001). 

The system comprises a wide range of largely permanent crops such as rice, pulses, sugarcane, oilseeds, maize, wheat, cotton, fruit and vegetables. Home gardens with vegetables and fruit trees are established for household consumption and extra income. The types of crops grown depends on the geographic location, agro-climatic zone, slope of the land and water availability. Livestock husbandry is an important component of the system, contributing draught power, meat, cash income and savings (Dixon et al., 2001). However, livestock production is generally low due to poor animal husbandry and animal health practices. Aquaculture is practiced in areas with water availability, mainly in combination with rice production (Dixon et al., 2001).

Farms within the system are typically remote with limited to no road infrastructure and poor access to goods and services. Rural credit and risk insurance is typically unavailable, rendering households vulnerable to natural disasters and crop failures. As farmers tend to operate semi-subsistence production systems, average incomes are low contributing to high poverty levels and food insecurity. Off-farm work is an important alternative income source. Currently, farmers are transitioning from rice-based subsistence cultivation to commercial market-oriented systems. For example, in Thailand and Vietnam, subsistence farmers growing upland rice with long fallow periods have adopted commercial farming systems and are using external inputs to intensively grow cash crops such as maize, vegetables, fruits and flowers (Schreinemachers et al., 2013). The movement is due to demographic pressure, improved access to global markets, land use policies, and is encouraged as a means of poverty alleviation (Hepp et al., 2019). "
"Coastal plantation and mixed farming (LAC)",," ","186"," "," "," "," "," "," ","rainfed","Coastal plantation and mixed farming in the Latin America and the Caribean covers 186 million ha. The system occupies some of the richest agricultural lands in the region, but also includes mangrove swamps and isolated areas of tropical forest. There are two major sub-systems: (a) small-scale family farms with mixed agriculture, in-shore fishing and frequent off-farm employment (e.g. tourism); and (b) large-scale plantations, typically export-oriented and often internationally owned, with intensive production and significant poverty among labourers. Otherwise, poverty is not prevalent (Dixon et al.; 2001)."
"Dryland Mixed (LAC)",,"Dry Moist sub-humid","127"," "," "," "," "," ","3.5","Rainfed","The Dryland Mixed Farming System includes two principal areas within Latin America: (i) the Northeast of Brazil, comprising about 20 percent of the country or 110 million ha; and (ii) the Yucatan peninsula of Mexico, extending into the Northern Peten zone of Guatemala, covering about 17 million ha. The annual precipitation in Northeast Brazil varies from 400 to 600 mm in the drier west of the Brazilian system, to 1000 mm in the East. In the Yucatan, the average range is 600 to 1500 mm. In both regions, soils are mainly shallow and stony with areas of low forest vegetation and elevations are low to moderate. Good quality agricultural land is scarce and there are few erosion control measures. Due to its location near the coast of Northeast Brazil and in the Yucatan peninsula of Mexico, the dryland mixed farming system of nearly 130 million ha has a well-established economic and productive structure, but faces severe moisture and soil quality constraints. Despite frequent droughts, irrigated agriculture is poorly developed; partly as a result of shortage of water availability, partly due to poor soil conditions, and partly because of investment requirements beyond the reach of most small producers. It is a system with extensive and severe poverty among small-scale producers, who exist alongside large-scale extensive ranches, and often depend on seasonal migration and wage labour for survival. Land degradation remains a serious problem (Dixon et al., 2001)."
"Forest based (LAC)",," ","600"," "," "," "," "," "," ","Rainfed","The forest based agricultural system is located in the Amazon basin, covering an area of over 600 million ha (Dixon et al., 2001). The agricultural system comprises indigenous communities and low-input agricultural activity that is interspersed with extensive beef and plantation farming in the peripheral areas of the Amazon region. Only a small portion of the forest based system is cultivated (<1%) and irrigation is scarce (Dixon et al., 2001). The population density is very low and poverty levels are low to moderate.

Indigenous communities of the Amazon region practice traditional shifting cultivation as well as agroforestry, where farmers rotate production amongst active fields of annual crops and regenerating forest areas, or fallows, to meet subsistence needs. Shifting cultivation, also known as swidden-fallow or slash-and-burn agriculture, is suited to the low soil fertility, high rainfall, and fast nutrient leaching that is characteristic of the area. Land is cleared by burning which adds nutrients to the soils, followed by the planting of crops such as acai, avocado and guava (USAID, 2018). After a few years of production, crops such as coffee, cacao, other fruit trees, rubber and Brazil nuts are grown. These crops are then harvested for many subsequent years before the cycle is repeated decades later (USAID, 2018). Shifting cultivation is commonly misunderstood as environmentally destructive and inefficient, but it is highly productive in terms of labour unit, product diversity, food security and the maintenance of biodiversity (Løvold, 2014). In shifting cultivation, the territory is collectively managed with plots under individual management, there is no individual ownership of plots. 

On the other hand, some farmers, particularly migrants, convert shifting cultivation systems to monoculture cropping, pasture, and plantations to intensify production. Such changes in land use tend to be motivated by changes in market conditions and land use policy as well as offers of credit and future profits by private firms or government agencies (Maeda et al., 2020; Ravikumar et al., 2016). Government policies typically stimulate agricultural commodities rather than promote sustainable forest-food systems (Løvold, 2014). 

Forest-based agriculture is undertaken at a variety of scales depending on the type of production. Small-scale crop production and family farming plots are predominant, ranging from 25 ha to 100 ha. However, medium-sized properties between 250 ha to 1,000 ha, and farms larger than 1,000 ha also occur (Maeda et al., 2020). Livestock production on extensive pastures and large-scale commodity agriculture are found on the bigger farms. The most common commodity crops in the Amazon region are soybean, maize, sorghum, and cotton. These farming systems are intensive, with two or more harvests a year, and are technologically advanced (Maeda et al., 2020). 

Deforestation for cattle ranching has been identified as a major threat to the Amazon biome and affects regional rainfall patterns. Clearing of land for large-scale cropping, such as of soybean in Brazil, is also a key contributor to deforestation. Deforestation of the Amazon region has global ramifications due to carbon emissions and biodiversity loss (Skidmore et al., 2021)."
"High Altitude Mixed (Central Andes)",,"Semiarid- dry subhumid ","121"," "," "," "," "," ","3","rainfed","The maize-beans agricultural system covers predominantly upland areas from the Panama Canal to the highland plateau of Guatemala and Central Mexico, extending over an area of approximately 65 million ha (Dixon et al., 2001). The elevation of the agricultural system typically ranges between 400 - 2,000 masl, but reaches 3,500 masl in the Guatemalan highlands. Annual precipitation varies from 1,000 mm to 2,000 mm (Dixon et al., 2001). Soils are of volcanic origin and relatively fertile, but the prevalence of soil degradation and erosion is high, particularly on steep gradients and cleared land. The system is characterised by high levels of deforestation, forested areas in Guatemala and Honduras steadily decreased between 1990 and 2015 and Nicaragua lost half of its forest cover in the last half-century (Gourdji et al., 2015; Waddick, 2017). The decrease (especially in Honduras) is attributed to agricultural expansion. 

Farms are typically small, less than two hectares in size. For example, in Guatemala, Costa Rica and Honduras, the average coffee production area is 1.41 ha, 0.92 ha for maize and 0.57 ha for beans (Harvey et al., 2018). Yields tend to be low, with rainfed maize averaging 1.5 t/ha and beans 0.7 t/ha (Dixon et al., 2001; Eitzinger et al., 2012).

Maize and beans form a vital component of the diets and culture of the agricultural system's population and smallholder farmers are key contributors to the national output of these crops. On-farm consumption is high, as noted by Harvey et al. (2018) who determined that less than a quarter of smallholder farmers sell their produce. Poverty is prevalent throughout the agricultural system (>30% of the population in Nicaragua and Honduras, 25% in Guatemala, and 20% in El Salvador), especially in the period before harvest (Dixon et al., 2001; Eitzinger et al., 2012). Coffee farmers typically experience higher incomes per unit of land than maize and bean producers. Coffee and small-scale vegetable production provide important income sources. 

Public infrastructure is sparse or completely absent away from local administrative centres and road networks are largely inadequate. In El Salvador, the road network is usable only during the dry season, greatly restricting access to land and markets (Eitzinger et al., 2012). However, the rural access index (RAI) varies by country, for example, Bolivia's RAI is 48%, Costa Rica at 82% and Nicaragua at 28% (Perez, 2020). Similarly, the availability of education, health care and other services is generally poor. Although, levels of education vary between smallholder farmers in different landscapes. For example, Costa Rican farmers generally have higher levels of education than farmers in Guatemala and Honduras, and El Salvador has lower education levels than Honduras (Eitzinger et al., 2012). Most smallholder land ownership is by customary arrangement, making access to formal credit  difficult. To compensate, rural communities rely on social cohesion, enabling community mobilisation for a wide range of activities (Dixon et al., 2001). "
"Irrigated (LAC)",,"Arid and semi-arid","200"," "," "," "," "," "," ","Irrigated","The irrigated agricultural system covers large areas of arid land in Northern and Central Mexico and coastal and inland valley areas of Peru, Chile and Western Argentina. The total land area is close to 200 million ha (Dixon et al., 2001). As the name suggests, the agricultural system is irrigated, which allows for a relatively high degree of intensification. The system is commercially oriented involving the production of fruit, rice, cotton, horticulture and vines. Poverty levels in the irrigated agricultural system are generally low to moderate (Dixon et al., 2001).

In Chile, approximately 52% of the coast is irrigated, with irrigation efficiency low at around 35–40% (World Bank et al., 2015). The main irrigation system used is gravitational flooding, which has a low irrigation efficiency (30%). The second-most adopted irrigation type is micro-irrigation (23%), followed by sprinkler irrigation (5%) (Donosa, 2021). The main irrigated crops in Central Chile are maize, rice, blueberries, raspberries, and perennials, such as apple and cherry trees. Fruit production, such as grape and avocado, are typically exported (Peña-Guerrero et al., 2020). Irrigated agriculture exerts considerable pressure on the country’s water resources, especially in the coastal areas.

In the northern areas of the Peru coastline, irrigated agricultural production includes the cultivation of asparagus, artichokes, peppers, avocados, pineapples, mangos and blueberries (Portugal, 2019). These products, destined for export markets, have resulted in agricultural expansion and an increased demand for irrigation. Investments in modern irrigation infrastructure by large-scale farms have increased groundwater abstraction (Salmoral et al., 2020). There is a clear difference in the level of modernisation between agro-export farms, which typically use automated high-efficiency drip irrigation systems, and small-scale farms that rely on low energy, lower efficiency surface irrigation systems. Small-scale farmers tend to obtain their water from surface water sources as they lack access to finance to drill boreholes or increase the depths of existing boreholes/wells to draw upon the falling water table (Salmoral et al., 2020). 

As in Peru and Chile, in Argentina, the irrigated farming system has allowed for the intensification and commercialisation of agricultural production, such as grape production (World Bank et al., 2014). In Mexico, the key fruits and vegetables grown for export markets include bell pepper, onion, spinach, cucumber, mango, papaya, banana and avocado. Increased demand for irrigation in conjunction with climate change has led to aquifer overexploitation and declines in regional groundwater levels."
"Maize-beans (LAC)",,"Dry - moist subhumid","65"," "," "," "," "," ","0.4-4.5 ","Rainfed","The maize-beans agricultural system covers predominantly upland areas from the Panama Canal to the highland plateau of Guatemala and Central Mexico, extending over an area of approximately 65 million ha (Dixon et al., 2001). The elevation of the agricultural system typically ranges between 400 - 2,000 masl, but reaches 3,500 masl in the Guatemalan highlands. Annual precipitation varies from 1,000 mm to 2,000 mm (Dixon et al., 2001). Soils are of volcanic origin and relatively fertile, but the prevalence of soil degradation and erosion is high, particularly on steep gradients and cleared land. The system is characterised by high levels of deforestation, forested areas in Guatemala and Honduras steadily decreased between 1990 and 2015 and Nicaragua lost half of its forest cover in the last half-century (Gourdji et al., 2015; Waddick, 2017). The decrease (especially in Honduras) is attributed to agricultural expansion. 

Farms are typically small, less than two hectares in size. For example, in Guatemala, Costa Rica and Honduras, the average coffee production area is 1.41 ha, 0.92 ha for maize and 0.57 ha for beans (Harvey et al., 2018). Yields tend to be low, with rainfed maize averaging 1.5 t/ha and beans 0.7 t/ha (Dixon et al., 2001; Eitzinger et al., 2012).

Maize and beans form a vital component of the diets and culture of the agricultural system's population and smallholder farmers are key contributors to the national output of these crops. On-farm consumption is high, as noted by Harvey et al. (2018) who determined that less than a quarter of smallholder farmers sell their produce. Poverty is prevalent throughout the agricultural system (>30% of the population in Nicaragua and Honduras, 25% in Guatemala, and 20% in El Salvador), especially in the period before harvest (Dixon et al., 2001; Eitzinger et al., 2012). Coffee farmers typically experience higher incomes per unit of land than maize and bean producers. Coffee and small-scale vegetable production provide important income sources. 

Public infrastructure is sparse or completely absent away from local administrative centres and road networks are largely inadequate. In El Salvador, the road network is usable only during the dry season, greatly restricting access to land and markets (Eitzinger et al., 2012). However, the rural access index (RAI) varies by country, for example, Bolivia's RAI is 48%, Costa Rica at 82% and Nicaragua at 28% (Perez, 2020). Similarly, the availability of education, health care and other services is generally poor. Although, levels of education vary between smallholder farmers in different landscapes. For example, Costa Rican farmers generally have higher levels of education than farmers in Guatemala and Honduras, and El Salvador has lower education levels than Honduras (Eitzinger et al., 2012). Most smallholder land ownership is by customary arrangement, making access to formal credit  difficult. To compensate, rural communities rely on social cohesion, enabling community mobilisation for a wide range of activities (Dixon et al., 2001). "
"Dryland mixed (MENA)",,"Semiarid- subhumid","42","3,84","2,59"," "," "," ","7","Rainfed","The dryland mixed agricultural system of the Middle East and North Africa region covers an area of 42 million hectares and is located in the semi-arid subhumid agroecological zone which receives an annual rainfall of between 150 mm to 300 mm (Dixon et al., 2001). The agricultural area of the system is 3.8 million hectares (Hyman et al., 2016). Drought is a frequent occurrence in the region and food insecurity is particularly challenging (Dixon et al., 2001; Hyman et al., 2016). Soils in the region’s more arid areas are susceptible to wind erosion (Dixon et al., 2001; OECD/FAO, 2018). 
Crop production is rainfed and vulnerable to inter-annual and seasonal variation (temporal and spatial). Barley and wheat are the predominant crops and are grown in rotation with an annual or two-year fallow period (Dixon et al., 2001). Indigenous barley varieties are becoming increasingly popular and frequently replace wheat production. The cultivation of higher value crops, such as fruits and vegetables, tends to be constrained by low rainfall and poor market linkages (Hyman et al., 2016). Legumes (lentils and chickpeas) are grown in areas with higher rainfall.
Livestock production, including cattle and small ruminants, is integrated in cropping systems (Dixon et al., 2001). Sheep and goats are by far the most numerous livestock species, with sheep numbers generally exceeding those of goats (Mohamed et al., 2019). When yields are good, barley is produced for grain and sheep are grazed on the stubble of the harvested crop. However, if rainfall is low and the crop does not reach maturation, the whole crop may be used for livestock fodder. Sheep breeds are typically hardy, small, and able to withstand adverse conditions and survive on sub-maintenance diets (Mohamed et al., 2019). Farmers are reliant on livestock production for subsistence and cash income.
The population density of the agricultural system is lower than those in more arable systems and farms are typically small (Dixon et al., 2001; OECD/FAO, 2018). Poverty is extensive amongst small-scale farmers. Land and water are scarce in the region and the environment makes agriculture a challenging pursuit, thus migration to urban areas is increasing with remittances crucial to food security in rural communities (Dixon et al., 2001; OECD/FAO, 2018). "
