"Farming system",FS macro region,"Location: Countries (M49-code)"
"Lowland Rice",EAP,"764"
"Lowland Rice",EAP,"704"
"Lowland Rice",EAP,"104"
"Lowland Rice",EAP,"156"
"Lowland Rice",EAP,"608"
"Lowland Rice",EAP,"360"
"Temperate Mixed",EAP,"156"
"Temperate Mixed",EAP,"496"
"Temperate Mixed",EAP,"408"
"Upland Intensive Mixed",EAP,"360"
"Upland Intensive Mixed",EAP,"458"
"Upland Intensive Mixed",EAP,"598"
"Upland Intensive Mixed",EAP,"608"
"Upland Intensive Mixed",EAP,"158"
"Upland Intensive Mixed",EAP,"156"
"Upland Intensive Mixed",EAP,"410"
"Upland Intensive Mixed",EAP,"408"
"Upland Intensive Mixed",EAP,"104"
"Upland Intensive Mixed",EAP,"764"
"Upland Intensive Mixed",EAP,"418"
"Upland Intensive Mixed",EAP,"704"
"Coastal plantation and mixed ",LAC,"28"
"Coastal plantation and mixed ",LAC,"660"
"Coastal plantation and mixed ",LAC,"533"
"Coastal plantation and mixed ",LAC,"52"
"Coastal plantation and mixed ",LAC,"76"
"Coastal plantation and mixed ",LAC,"84"
"Coastal plantation and mixed ",LAC,"188"
"Coastal plantation and mixed ",LAC,"170"
"Coastal plantation and mixed ",LAC,"212"
"Coastal plantation and mixed ",LAC,"214"
"Coastal plantation and mixed ",LAC,"218"
"Coastal plantation and mixed ",LAC,"192"
"Coastal plantation and mixed ",LAC,"308"
"Coastal plantation and mixed ",LAC,"250"
"Coastal plantation and mixed ",LAC,"328"
"Coastal plantation and mixed ",LAC,"340"
"Coastal plantation and mixed ",LAC,"320"
"Coastal plantation and mixed ",LAC,"332"
"Coastal plantation and mixed ",LAC,"662"
"Coastal plantation and mixed ",LAC,"388"
"Coastal plantation and mixed ",LAC,"659"
"Coastal plantation and mixed ",LAC,"484"
"Coastal plantation and mixed ",LAC,"500"
"Coastal plantation and mixed ",LAC,"558"
"Coastal plantation and mixed ",LAC,"591"
"Coastal plantation and mixed ",LAC,"604"
"Coastal plantation and mixed ",LAC,"630"
"Coastal plantation and mixed ",LAC,"740"
"Coastal plantation and mixed ",LAC,"780"
"Coastal plantation and mixed ",LAC,"222"
"Coastal plantation and mixed ",LAC,"92"
"Coastal plantation and mixed ",LAC,"850"
"Coastal plantation and mixed ",LAC,"535"
"Coastal plantation and mixed ",LAC,"531"
"Coastal plantation and mixed ",LAC,"670"
