"Resource ID","Resource year","ID"
"[""Mulungu & Ng'ombe","2019""]","1544"
"[""Mulungu & Ng'ombe","2019""]","1548"
"['Abiy et al.","2019","1104"
"['Abumoghli and Goncalves","2016","895"
"['Acheampong et al.","2021","1683"
"['Acheampong et al.","2021","1687"
"['Acheampong et al.","2021","1692"
"['Acheampong et al.","2021","1713"
"['Acheampong et al.","2021","1716"
"['ADB","2014","933"
"['ADB","2014","975"
"['ADB","2016","1332"
"['Adhikari et al.","2015","1510"
"['Akam & Gruere","2018","2"
"['Akam & Gruere","2018","20"
"['Akam & Gruere","2018","36"
"['Akam & Gruere","2018","37"
"['Akam & Gruere","2018","9"
"['Akam & Gruere","2018","19"
"['Akinyi et al.","2021","1316"
"['Akter","2021","211"
"['Al-Riffai and Breisinger","2012","878"
"['Alam et al.","2021","1140"
"['Alam et al.","2021","1147"
"['Alemu et al.","2011","1297"
"['Alemu et al.","2011","1315"
"['Almeida","2015","523"
"['Amin et al.","2015","1111"
"['Amin et al.","2015","1151"
"['Amin et al.","2015","1100"
"['Amin et al.","2015","1108"
"['Amin et al.","2015","1115"
"['Amin et al.","2015","1129"
"['Amir Kassam et al.","2022","1338"
"['Amir Kassam et al.","2022","1339"
"['Amir Kassam et al.","2022","1342"
"['Anbumozhi et al.","2012","103"
"['Armenteras et al.","2021","453"
"['Armenteras et al.","2021","455"
"['Arshad et al.","2016","1033"
"['Arshad et al.","2016","1024"
"['Arshad et al.","2016","1029"
"['Arshad et al.","2016","1041"
"['Arshad et al.","2016","1058"
"['Arshad et al.","2016","1084"
"['Arshad et al.","2016","1085"
"['Arshad et al.","2016","1025"
"['Arshad et al.","2016","1036"
"['Arshad et al.","2016","1040"
"['Arshad et al.","2016","1057"
"['Arshad et al.","2016","1063"
"['Arshad et al.","2016","1064"
"['Arshad et al.","2016","1065"
"['Arshad et al.","2016","1081"
"['Arshad et al.","2016","1086"
"['Aryal et al.","2020","1108"
"['Aryal et al.","2020","1110"
"['Aryal et al.","2020","1092"
"['Aryal et al.","2020","1094"
"['Aryal et al.","2020","1098"
"['Aryal et al.","2020","1111"
"['Aryal et al.","2020","1112"
"['Aryal et al.","2020","1114"
"['Aryal et al.","2020","1116"
"['Aryal et al.","2020","1120"
"['Aryal et al.","2020","1122"
"['Aryal et al.","2020","1123"
"['Aryal et al.","2020","1125"
"['Aryal et al.","2020","1135"
"['Aryal et al.","2020","1137"
"['Aryal et al.","2020","1138"
"['Aryal et al.","2020","1139"
"['Aryal et al.","2020","1140"
"['Aryal et al.","2020","1152"
"['Aryal et al.","2020","1155"
"['Aryal et al.","2020","1157"
"['Aryal et al.","2020","1158"
"['Aryal et al.","2020","1159"
"['Aryal et al.","2020","1160"
"['Aryal et al.","2021","1096"
"['Aryal et al.","2021","1087"
"['Aryal et al.","2021","1088"
"['Aryal et al.","2021","1089"
"['Aryal et al.","2021","1093"
"['Aryal et al.","2021","1101"
"['Aryal et al.","2021","1106"
"['Aryal et al.","2021","1107"
"['ASEAN","2021","149"
"['ASEAN","2021","150"
"['ASEAN","2021","151"
"['ASEAN","2021","180"
"['ASEAN","2021","155"
"['ASEAN","2021","156"
"['ASEAN","2021","157"
"['ASEAN","2021","159"
"['ASEAN","2021","160"
"['ASEAN","2021","167"
"['ASEAN","2021","172"
"['ASEAN","2021","184"
"['ASEAN","2021","186"
"['ASEAN","2021","187"
"['ASEAN","2021","196"
"['ASEAN","2021","201"
"['ASEAN","2021","231"
"['Ayantunde at al.","2011","1218"
"['Ayantunde at al.","2011","1185"
"['Ayantunde at al.","2011","1202"
"['Ayantunde at al.","2011","1210"
"['Ayantunde at al.","2011","1228"
"['Ayantunde at al.","2011","1228"
"['Ayantunde at al.","2011","1233"
"['Ayantunde at al.","2011","1259"
"['Ayantunde at al.","2011","1260"
"['Ayantunde at al.","2011","1262"
"['Baird et al.","2021","27"
"['Banerjee et al.","2021","243"
"['Banerjee et al.","2021","274"
"['Banerjee et al.","2021","314"
"['Banerjee et al.","2021","353"
"['Banerjee et al.","2021","261"
"['Banerjee et al.","2021","262"
"['Banerjee et al.","2021","268"
"['Banerjee et al.","2021","269"
"['Banerjee et al.","2021","281"
"['Baron and Govaerts","2021","588"
"['Baron and Govaerts","2021","590"
"['Baron and Govaerts","2021","614"
"['Baron and Govaerts","2021","615"
"['Bauer","2008","99"
"['Bauer","2008","110"
"['Bell & Taylor","2015","163"
"['Bell & Taylor","2015","164"
"['Bell & Taylor","2015","149"
"['Bell & Taylor","2015","150"
"['Bell & Taylor","2015","151"
"['Bell & Taylor","2015","152"
"['Bell & Taylor","2015","153"
"['Bell & Taylor","2015","154"
"['Bell & Taylor","2015","166"
"['Bell & Taylor","2015","178"
"['Bell & Taylor","2015","191"
