"FS name",FS macro region,"Name","Soil type",Description
"Forest based Livestock",LAC,"Palm (Acai)","Loam",
"Forest based Livestock",LAC,"Palm (Acai)","Sandy",
"Coastal plantation and mixed",LAC,"Coffee (Coffea arabica)","Sandy loam",Shallow soils with good organic matter
"Coastal plantation and mixed",LAC,"Coffee (Coffea arabica)","Virgin",On steep mountain slopes or flatlands
"Irrigated",LAC,"Asparagus","Sandy loam",
"Forest based Livestock",LAC,"Avocado","Clay loam",
"Forest based Livestock",LAC,"Avocado","Silty loam",
"Forest based Livestock",LAC,"Avocado","Sandy loam",
"Irrigated",LAC,"Avocado","Clay loam",
"Irrigated",LAC,"Avocado","Silty loam",
"Irrigated",LAC,"Avocado","Sandy loam",
"Irrigated",LAC,"Banana","Loam",
"Dryland mixed",MENA,"Barley","Deep loam",
"Irrigated",LAC,"Blueberry","Various",
"Coastal plantation and mixed",LAC,"Cacao Tree","Raw mineral",
"Coastal plantation and mixed",LAC,"Cacao Tree","Clay loam",
"Coastal plantation and mixed",LAC,"Cacao Tree","Sandy loam",
"Dryland mixed",LAC,"Cassava","Sandy loam",
"Cereal-Root Crop Mixed",SSA,"Cassava","Sandy",
"Root Crop",SSA,"Cassava","Savanna Ochrosols",
"Root Crop",SSA,"Cassava","Well drained",
"Root Crop",SSA,"Cassava","Sandy",
"Root Crop",SSA,"Cassava","Ferruginous",
"Root Crop",SSA,"Cassava","Ferralitic",
"Root Crop",SSA,"Cassava","Raw mineral",
"High Altitude Mixed (C. Andes)",LAC,"Cañihua","Loamy clay",
"Rainfed Mixed",SA,"Chickpea","Black cotton",
"Rainfed Mixed",SA,"Chickpea","Sandy loam",With a pH ranging from 6.0 to 8.0 are best suited
"Rainfed Mixed",MENA,"Chickpea","Black cotton",Soils with a pH ranging from 6.0 to 8.0 are best suited
"Rainfed Mixed",MENA,"Chickpea","Sandy loam",Soils with a pH ranging from 6.0 to 8.0 are best suited
"Forest based Livestock",LAC,"Coffee","Clay loam",
"Forest based Livestock",LAC,"Coffee","Silty loam",
"Maize-beans (Mesoamerica)",LAC,"Coffee (Coffea arabica)","Loam","A mixture of sand, silt, and clay"
"Maize-beans (Mesoamerica)",LAC,"Coffee (Coffea robusta)","Loam","A mixture of sand, silt, and clay"
"Highland Perennial",SSA,"Coffee (Coffea arabica)","Well drained",
"Highland Perennial",SSA,"Coffee (Coffea arabica)","Volcanic",
"Highland Perennial",SSA,"Coffee (Coffea arabica)","Deep",
"Highland Perennial",SSA,"Coffee (Coffea arabica)","Sandy loam",
"Highland Mixed",MENA,"Corn","Podzolic alluvium",Temperate
"Highland Mixed",MENA,"Corn","Leached red",Of the tropics
"Highland Mixed",MENA,"Corn","Deep","Of the sub-tropics, where there is abundant nitrogen"
"Maize-beans (Mesoamerica)",LAC,"Dry bean","Well drained",
"Irrigated",LAC,"Grape","Sandy loam",
"Rainfed Mixed",SA,"Groundnut","Sandy loam",Textured with neutral Ph
"Highland Mixed",SSA,"Highland livestock-cereal","Well drained",Deep Cameroon
"Highland Mixed",SSA,"Highland livestock-cereal","Ferralitic",
