"ID","Citation","Year","Number"
"1869","Abate et al.","2021","1"
"189","Abiad et al.","2020","1"
"1455","Abiy et al.","2019","1"
"1456","Abiy et al.","2019","1"
"1482","Abiy et al.","2019","1"
"424","AbuZeid et al.","2021","1"
"2336","Acheampong et al.","2021","1"
"2355","Acheampong et al.","2021","1"
"1233","ADB","2014","1"
"1234","ADB","2014","1"
"1235","ADB","2014","1"
"1236","ADB","2014","1"
"1237","ADB","2014","1"
"1238","ADB","2014","1"
"1239","ADB","2014","1"
"1240","ADB","2014","1"
"1241","ADB","2014","1"
"1301","ADB","2014","1"
"1342","ADB","2014","1"
"459","AFD AVILA et al.","2010","1"
"465","AFD AVILA et al.","2010","1"
"2321","AGNES","2020","1"
"1970","Aimée-Noël","2021","1"
"1700","Aimée-Noël","2021","1"
"6","Akam and Gruere","2018","1"
"17","Akam and Gruere","2018","1"
"18","Akam and Gruere","2018","1"
"22","Akam and Gruere","2018","1"
"49","Akam and Gruere","2018","1"
"50","Akam and Gruere","2018","1"
"63","Akam and Gruere","2018","1"
"78","Akam and Gruere","2018","1"
"79","Akam and Gruere","2018","1"
"80","Akam and Gruere","2018","1"
"81","Akam and Gruere","2018","1"
"88","Akam and Gruere","2018","1"
"507","Akhmouch","2012","1"
"508","Akhmouch","2012","1"
"512","Akhmouch","2012","1"
"524","Akhmouch","2012","1"
"1867","Akinola et al.","2018","1"
"2216","Akinola et al.","2018","1"
"2218","Akinola et al.","2018","1"
"1785","Akinyi et al.","2021","1"
"1754","Akombi et al.","2017","1"
"273","Akter","2021","1"
"274","Akter","2021","1"
"1178","Al-Riffai and Breisinger","2012","1"
"1180","Al-Riffai and Breisinger","2012","1"
"1181","Al-Riffai and Breisinger","2012","1"
"1188","Al-Riffai and Breisinger","2012","1"
"1191","Al-Riffai and Breisinger","2012","1"
"1197","Al-Riffai and Breisinger","2012","1"
"1205","Al-Riffai and Breisinger","2012","1"
"1520","Alam et al.","2021","1"
"1523","Alam et al.","2021","1"
"1888","Alemayehu and Bewket","2016","1"
"699","Almeida","2015","1"
"564","Almudi and Sinclair","2022","1"
"580","Almudi and Sinclair","2022","1"
"582","Almudi and Sinclair","2022","1"
"1761","Alobo Loison","2015","1"
"2213","Alphonce Shiundu","2018","1"
"462","Alpízar et al.","2020","1"
"470","Alpízar et al.","2020","1"
"1491","Aman et al.","2021","1"
"1449","Amin et al.","2015","1"
"1450","Amin et al.","2015","1"
"1459","Amin et al.","2015","1"
"1462","Amin et al.","2015","1"
"1470","Amin et al.","2015","1"
"1477","Amin et al.","2015","1"
"1488","Amin et al.","2015","1"
"1500","Amin et al.","2015","1"
"1702","Kassam et al.","2022","1"
"1705","Kassam et al.","2022","1"
"1709","Kassam et al.","2022","1"
"1712","Kassam et al.","2022","1"
"1717","Kassam et al.","2022","1"
"1724","Kassam et al.","2022","1"
"1729","Kassam et al.","2022","1"
"1756","Kassam et al.","2022","1"
"1760","Kassam et al.","2022","1"
"1784","Kassam et al.","2022","1"
"1786","Kassam et al.","2022","1"
"1794","Kassam et al.","2022","1"
"1799","Kassam et al.","2022","1"
"1806","Kassam et al.","2022","1"
"1807","Kassam et al.","2022","1"
"116","Anbumozhi et al.","2012","1"
"122","Anbumozhi et al.","2012","1"
"184","Anbumozhi et al.","2012","1"
"185","Anbumozhi et al.","2012","1"
"2262","Antwi-Agyei et al.","2021","1"
"2266","Antwi-Agyei et al.","2021","1"
"2268","Antwi-Agyei et al.","2021","1"
"1315","Architesh.","2019","1"
"599","Armenteras et al.","2021","1"
"1370","Arshad et al.","2016","1"
"1372","Arshad et al.","2016","1"
"1375","Arshad et al.","2016","1"
"1382","Arshad et al.","2016","1"
"1384","Arshad et al.","2016","1"
"1385","Arshad et al.","2016","1"
"1386","Arshad et al.","2016","1"
"1390","Arshad et al.","2016","1"
"1393","Arshad et al.","2016","1"
"1394","Arshad et al.","2016","1"
"1403","Arshad et al.","2016","1"
"1409","Arshad et al.","2016","1"
"1419","Arshad et al.","2016","1"
"1426","Arshad et al.","2016","1"
"1427","Arshad et al.","2016","1"
"1428","Arshad et al.","2016","1"
"1439","Arshad et al.","2016","1"
"1446","Arshad et al.","2016","1"
"1447","Arshad et al.","2016","1"
"1325","Aryal et al.","2020","1"
"172","Aryal et al.","2020","1"
"199","Aryal et al.","2020","1"
"1346","Aryal et al.","2020","1"
"1372","Aryal et al.","2019","1"
"1373","Aryal et al.","2019","1"
"1374","Aryal et al.","2019","1"
"1375","Aryal et al.","2019","1"
"1376","Aryal et al.","2019","1"
"1377","Aryal et al.","2019","1"
"1381","Aryal et al.","2019","1"
"1384","Aryal et al.","2019","1"
"1391","Aryal et al.","2019","1"
"1392","Aryal et al.","2019","1"
"1393","Aryal et al.","2019","1"
"1396","Aryal et al.","2019","1"
"1405","Aryal et al.","2019","1"
"1424","Aryal et al.","2019","1"
"1448","Aryal et al.","2020","1"
"1448","Aryal et al.","2021","1"
"1452","Aryal et al.","2019","1"
"1453","Aryal et al.","2021","1"
"1460","Aryal et al.","2021","1"
"1467","Aryal et al.","2019","1"
"1472","Aryal et al.","2020","1"
"1473","Aryal et al.","2020","1"
"1475","Aryal et al.","2020","1"
"1476","Aryal et al.","2020","1"
"1478","Aryal et al.","2021","1"
"1479","Aryal et al.","2021","1"
"1483","Aryal et al.","2020","1"
"1485","Aryal et al.","2020","1"
"1489","Aryal et al.","2021","1"
"1493","Aryal et al.","2020","1"
"1495","Aryal et al.","2020","1"
"1497","Aryal et al.","2020","1"
"1502","Aryal et al.","2020","1"
"1506","Aryal et al.","2020","1"
"1508","Aryal et al.","2020","1"
"1509","Aryal et al.","2020","1"
"1518","Aryal et al.","2020","1"
"1526","Aryal et al.","2020","1"
"1529","Aryal et al.","2020","1"
"1530","Aryal et al.","2020","1"
"1531","Aryal et al.","2020","1"
"1299","Aryal et al.","2020","1"
"216","ASEAN","2021","1"
"217","ASEAN","2021","1"
"218","ASEAN","2021","1"
"219","ASEAN","2021","1"
"222","ASEAN","2021","1"
"235","ASEAN","2021","1"
"236","ASEAN","2021","1"
"260","ASEAN","2021","1"
"262","ASEAN","2021","1"
"904","Ashfaq et al.","2015","1"
"1751","Asmamaw et al.","2021","1"
"1481","Aulakh and Sidhu","2015","1"
"1558","Ayantunde at al.","2011","1"
"1559","Ayantunde at al.","2011","1"
"1614","Ayantunde at al.","2011","1"
"1615","Ayantunde at al.","2011","1"
"1624","Ayantunde at al.","2011","1"
"1650","Ayantunde at al.","2011","1"
"1665","Ayantunde at al.","2011","1"
"1287","Bandyopadhyay","2007","1"
"1836","Baptista et al.","2022","1"
"92","Barlow","2015","1"
"777","Baron and Govaerts","2021","1"
"796","Baron and Govaerts","2021","1"
"797","Baron and Govaerts","2021","1"
"96","Basconcillo and Moon","2022","1"
"209","Bell and Taylor","2015","1"
"210","Bell and Taylor","2015","1"
"213","Bell and Taylor","2015","1"
"214","Bell and Taylor","2015","1"
"215","Bell and Taylor","2015","1"
"229","Bell and Taylor","2015","1"
"269","Bell and Taylor","2015","1"
"2108","Benimana","2021","1"
"1450","Bera and Sarkar","2021","1"
"1459","Bera and Sarkar","2021","1"
"1460","Bera and Sarkar","2021","1"
"1461","Bera and Sarkar","2021","1"
"1463","Bera and Sarkar","2021","1"
"1464","Bera and Sarkar","2021","1"
"1467","Bera and Sarkar","2021","1"
"1468","Bera and Sarkar","2021","1"
"1469","Bera and Sarkar","2021","1"
"1484","Bera and Sarkar","2021","1"
"1486","Bera and Sarkar","2021","1"
"1488","Bera and Sarkar","2021","1"
"1502","Bera and Sarkar","2021","1"
"1503","Bera and Sarkar","2021","1"
"1504","Bera and Sarkar","2021","1"
"1516","Bera and Sarkar","2021","1"
"1517","Bera and Sarkar","2021","1"
"1518","Bera and Sarkar","2021","1"
"637","Bergmann et al.","2021","1"
"695","Bergmann et al.","2021","1"
"705","Bergmann et al.","2021","1"
"707","Bergmann et al.","2021","1"
"709","Bergmann et al.","2021","1"
"1370","Bhatt et al.","2016","1"
