"ID","Tags"
"1","Maritime related"
"2","Maritime related"
"3","Rainfall related"
"4","Rainfall related"
"5","Rainfall related"
"6","Rainfall related"
"7","Maritime related"
"8","Maritime related"
"9","Rainfall related"
"10","Rainfall related"
"11","Maritime related"
"12","Rainfall related"
"13","Maritime related"
"14","Temperature related"
"15","Temperature related"
"16","Temperature related"
"17","Maritime related"
"18","Maritime related"
"19","Maritime related"
"20","Rainfall related"
"20","Socio-economic"
"20","Temperature related"
"21","Temperature and rainfall related"
"22","Biophysical"
"23","Biophysical"
"24","Biophysical"
"25","Biophysical"
"26","Biophysical"
"27","Biophysical"
"27","Socio-economic"
"28","Biophysical"
"28","Socio-economic"
"29","Biophysical"
"29","Socio-economic"
"30","Biophysical"
"30","Socio-economic"
"31","Biophysical"
"31","Socio-economic"
"32","Biophysical"
"32","Socio-economic"
"33","Biophysical"
"33","Socio-economic"
"34","Biophysical"
"34","Socio-economic"
"35","Biophysical"
"36","Socio-economic"
"37","Governance"
"37","Research and development"
"38","Human capacity"
"38","Infrastrcuture"
"39","Socio-economic"
"40","Biophysical"
"40","Socio-economic"
"41","Human capacity"
"41","Socio-economic"
"41","Technology"
"42","Infrastrcuture"
"42","Socio-economic"
"43","Infrastrcuture"
"44","Research and development"
"44","Technology"
"45","Finance"
"45","Market"
"46","Economic"
"46","Finance and markets"
"47","Finance"
"47","Market"
"48","Economic"
"48","Finance and markets"
"49","Sensitivity and susceptibility to harm"
"50","Sensitivity and susceptibility to harm"
"51","Sensitivity and susceptibility to harm"
"52","Sensitivity and susceptibility to harm"
"53","Capacity building"
"53","Technology"
"54","Infrastrcuture"
"55","Human capacity"
"55","Infrastrcuture"
"55","Technology"
"56","Infrastrcuture"
"56","Socio-economic"
"57","Biophysical"
"57","Farm level"
"58","Socio-economic"
"58","Technology"
"59","Season Related"
"60","Socio-economic"
"61","Diversification"
"61","Farm level"
"61","Institutions and policies"
"62","Infrastrcuture"
"62","Technology"
"63","Climate smart agriculture"
"63","Socio-economic"
"64","Community level"
"64","Human capacity"
"65","Human capacity"
"65","Institutions and policies"
"66","Human capacity"
"66","Institutions and policies"
"67","Human capacity"
"67","Partnership required"
"67","Technology"
"68","Farm level"
"68","Human capacity"
"69","Capacity building"
"69","Climate smart agriculture"
"69","Technology"
"70","Agricultural knowledge"
"70","Farm level"
"70","Human capacity"
"71","Community level"
"71","Infrastrcuture"
"72","Institutions and policies"
"72","Weather and environment"
"73","Institutions and policies"
"73","Weather and environment"
"74","Institutions and policies"
"74","Weather and environment"
"75","Institutions and policies"
"75","Weather and environment"
"76","Institutions and policies"
"76","Weather and environment"
"77","Institutions and policies"
"77","Weather and environment"
"78","Finance"
"78","Human capacity"
"78","Research and development"
"80","Biophysical"
"80","Research and development"
"80","Susceptibility to adaptation harm"
"80","Technology"
"81","Biophysical"
"81","Research and development"
"81","Susceptibility to adaptation harm"
"81","Technology"
"82","Diversification"
"82","Farm level"
"82","Institutions and policies"
"83","Infrastrcuture"
"83","Network dependent"
"83","Partnership required"
"84","Diversification"
"84","Farm level"
"84","Institutions and policies"
"85","Network dependent"
"85","Partnership required"
"86","Diversification"
"86","Farm level"
"86","Institutions and policies"
"87","Infrastrcuture"
"87","Network dependent"
"87","Partnership required"
"87","Technology"
"88","Socio-economic"
"89","Socio-economic"
"90","Socio-economic"
"91","Socio-economic"
"92","Temperature related"
"93","Season Related"
"94","Rainfall related"
"95","Maritime related"
"96","Maritime related"
"97","Biophysical"
"98","Biophysical"
"99","Rainfall related"
"99","Wind related"
"100","Temperature related"
"101","Biophysical"
"101","Temperature related"
"102","Biophysical"
"102","Temperature related"
"103","Season Related"
"104","Rainfall related"
"105","Rainfall related"
"106","Maritime related"
"107","Maritime related"
"108","Maritime related"
"109","Maritime related"
"110","Maritime related"
"111","Maritime related"
"112","Biophysical"
"113","Biophysical"
"114","Biophysical"
"115","Socio-economic"
"115","Temperature related"
"116","Season Related"
"116","Socio-economic"
"117","Governance"
"117","Temperature related"
"118","Finance"
"118","Rainfall related"
"119","Weather and environment"
"120","Biophysical"
"120","Socio-economic"
"121","Socio-economic"
"121","Weather and environment"
"122","Season Related"
"122","Socio-economic"
"123","Maritime related"
