ID,"FS name",FS macro region,"From","Link type","To","Description"
1,"Lowland Rice",EAP,"Increase in drought events","Leads to","Soil salinisation","Severe drought years such as 1977–1978, 1997–1998, 2015–2016 and 2019–2020 are all related to El Niño events, which greatly affect production. During low river flow periods in Mekong Delta, between March and April, saline water intrudes up to 40–50 km inland from estuaries through main river systems  and about 100,000 ha of rice annually is at high risk of dry-season salinity intrusion."
2,"Lowland Rice",EAP,"Rising sea levels","Leads to","Soil salinisation","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050"
3,"Lowland Rice",EAP,"Increase in average precipitation","Leads to","Increased flooding
","Seasonal river flooding, which coincides with the rainy season that runs from May to November, plays a critical role in the health of the Mekong river system. These floods deposit sediments, which improve soil fertility, flush out polluted waters, and recharge the groundwater tables. However, excessive flooding during the rainy season are becoming more frequent, and structural elements are not expected to hold up under an increasingly severe climate regime, which is driving sea-level rise (SLR) and changing meteorological and hydrological conditions.Changes in climate are also causing flooding and drought in Lao PDR"
4,"Lowland Rice",EAP,"Increase in average precipitation","Leads to","Siltation/sedimentation of rivers","Floods deposit sediments downstream in the rice fields. The floods  improve soil fertility, flush out polluted waters, and recharge the groundwater tables."
5,"Lowland Rice",EAP,"Decrease in average precipitation","Leads to","Reduced crop productivity/failure","Rainfall is greatly reduced in the Mekong and Red River deltas in the dry season. The annual rainy season tends to start late and to end early, resulting in a decrease in rainfall and runoff.  Reduced rainfall causes thousands of hectares of rice in the spring crop to suffer from drought or from reduction in irrigation water every year."
6,"Lowland Rice",EAP,"Decrease in average precipitation","Leads to","Water scarcity","The Mekong Delta is identified as water-risk “hotspots” that require a targeted policy response. These water risks are not only the result of precipitation changes but involve a range of factors, including farming practices, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping."
7,"Lowland Rice",EAP,"Rising sea levels","Leads to","Reduced crop productivity/failure","A rise in the sea level of only 30 cm could see the loss of nearly 200,000hectares of rice cultivation. Vast tracks of land planted with rice are affected by salinity intrusion  causing reduved yield by  50-100%, or total loss. Sea level rise has adverse effect on the agricultural productivity especially in the deltas."
8,"Lowland Rice",EAP,"Rising sea levels","Leads to","Change in production zone suitability","Weather extremes, flood patterns, and saline intrusion will change in all agro-ecological zones, but the changes vary from North to South, and from
coastal to inland areas, affecting the habitat suitability of rice and other major crops. Thiscould have drastic effects on crop distribution
in the future. The mainthreats for rice cultivation in the Deltas are relative sea level rise and increased saline intrusions."
9,"Lowland Rice",EAP,"Increase in drought events","Leads to","Reduced groundwater tables","An increase in drought events leads to a reduction in annual surface runoff causing a  decrease in ground and surface water with a negative effect on agriculture and water supply for industrial use."
10,"Lowland Rice",EAP,"Increase in drought events","Leads to","Water scarcity","The Lower Mekong Basin (LMB) has experienced some severe droughts in the past three decades and these droughts inflicted significant  harmful levels of salinity intrusion, and widespread shortage for domestic and industrial water use. Notably, droughts in 1991–1994 and 2015–2016 were the longest and driest droughts, respectively leading to water scarcity."
11,"Lowland Rice",EAP,"Rising sea levels","Leads to","Saline intrusion","Salt intrusion due to sea level rise has already caused agricultural productivity to decrease and rice production to decline. One particular severe salinity intrusion in 2016 affected 270,000 hectares of rice."
12,"Lowland Rice",EAP,"Decrease in average precipitation","Leads to","Shorter growing seasons","A simulation study showed that the start of the rice growing period (SGP) was delayed with reduced early rainfall during the 16-year period, leading to shorter growing seasons. The crop yield depends on rainfall distribution during growth, and the lack of irrigation water in the region makes this production system highly vulnerable to changes in precipitation."
13,"Lowland Rice",EAP,"Rising sea levels","Leads to","Coastal inundation","Dangers of sea-level rise include but are not limited to: land loss from the permanent inundation of low-lying coastal area."
14,"Lowland Rice",EAP,"Increase in average temperatures","Leads to","Shorter growing seasons","Shifting seasons are directly linked to warmer global temperatures: a slight change in temperature brings an earlier spring thaw and delays and water stress."
15,"Lowland Rice",EAP,"Increase in average temperatures","Leads to","Water scarcity","Increasing global temperatures are one of the main contributors to this problem of water scarcity in the region."
16,"Lowland Rice",EAP,"Increase in average temperatures","Leads to","Reduced crop productivity/failure","Productivity drops by as much as 4% per degree when temperature rise above 27 degrees celsius."
17,"Lowland Rice",EAP,"Rising sea levels","Leads to","Reduced water quality","In vietnam,  the snakehead fish farms in Tra Vinh or oyster farming areas in  Ben Tre experienced poor water quality in their ponds, rivers and water supplying sources, which was caused by saline intrusion and droughts. Negative impacts could have been mitigated if timely environmental quality information were made available to farmers."
18,"Lowland Rice",EAP,"Rising sea levels","Leads to","Increase in food spoilage/wastage","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss."
19,"Lowland Rice",EAP,"Rising sea levels","Leads to","Increase in food insecurity","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss."
20,"Lowland Rice",EAP,"Increase in drought events","Leads to","Increase in food insecurity","The Lower Mekong River basin (LMB) has experienced droughts in recent decades, causing detrimental economic losses and food security conundrums."
21,"Lowland Rice",EAP,"Increase in drought events","Leads to","Dependence on food aid","Vietnam recorded an extreme drought event in 2019 in 5 of 13 provinces in the Mekong Delta, and an emergency was declared. New Zealand Embassy announced humanitarian aid, totalling US$50,000, to communities in Ben Tre Province affected by drought and saltwater intrusion."
22,"Lowland Rice",EAP,"Water scarcity","Leads to","Reduced crop productivity/failure","Rice production is increasingly constrained by water scarcity during drought events. Water scarcity is a contributing barrier to adoption of technology in the lowland system"
23,"Lowland Rice",EAP,"Soil salinisation","Leads to","Reduced crop productivity/failure","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050. Acid sulfate soils are forming as salty crusts on the soil surface in some
areas, because of high salinity levels of the water causing unfavourable condition for rice production."
24,"Lowland Rice",EAP,"Saline intrusion","Leads to","Reduced crop productivity/failure","It was shown that seawater intrusion was the major factor leading to regional differences in rice cropping systems and land use patterns. In the Mekong Delta region, the worst saline intrusion occurs in rice production due to failed monsoons, and climate change leading to reduced yields."
25,"Lowland Rice",EAP,"Land degradation","Leads to","Sediment starvation","Soil erosion due to land degradation has led to high levels of sediments starvations in the coastal zones of of Asia."
26,"Lowland Rice",EAP,"Water scarcity","Leads to","Increase in food insecurity","Low yields due to rain-fed lowlands experiencing drought is a common problem throughout Asia, with an estimated 45% of the total rice area, leading to food insecurity."
27,"Lowland Rice",EAP,"Reduced crop productivity/failure","Leads to","Increase in food insecurity","Low rice yields due to rain-fed lowlands have led to increased food insecurity, Considering that rice production plays an important role in food security in East and Southeast Asia, based on historical data."
28,"Lowland Rice",EAP,"Soil salinisation","Leads to","Increase in food insecurity","In rice fields, soil salinity is often caused by inappropriate irrigation, mainly when saline water is directly used for irrigation, causing poor yields and hence food insecurity."
29,"Lowland Rice",EAP,"Saline intrusion","Leads to","Increase in food insecurity","One particular severe salinity intrusion in 2016 affected 270,000 hectares of rice, leading to increased food insecurity."
30,"Lowland Rice",EAP,"Land degradation","Leads to","Increase in food insecurity","Soil erosion due to land degradation has led to high levels of sediments starvations in the coastal zones of of Asia which causes poor yields and hence food insecurity."
31,"Lowland Rice",EAP,"Reduced crop productivity/failure","Leads to","Increase in food imports","Rice land is shrinking owing to industrialization, urbanization, crop diversification and other economic factors, leading to increase in imports."
32,"Lowland Rice",EAP,"Coastal inundation","Leads to","Increased flooding
","In South and Southeast Asia, where the majority of the world's rice farmers live, flooding is a major limitation on yield caused by inundation."
33,"Lowland Rice",EAP,"Elevation loss","Leads to","Damage to infrastructure","According to the IPCC's simulations, Asia, for example, is expected to experience damage to urban infrastructure due to flooding caused by elevation loss."
34,"Lowland Rice",EAP,"Coastal inundation","Leads to","Damage to infrastructure","The area's coastal regions are also susceptible to inundation associated with sea level rise and destruction of infrastructure from flooding and storm surges."
35,"Lowland Rice",EAP,"Elevation loss","Leads to","Increased flooding
","Elevation loss increases the vulnerability to flooding and storm surges, and ultimately threatens the Delta with permanent inundation. Without adaptation, land that will be below sea level may be permanently inundated and no longer suitable for agriculture."
36,"Lowland Rice",EAP,"Major component of local diet","Leads to","Dependence on food aid","The emergence of severe droughts in the Mekong Delta has resulted in huge crop failures, with 90% of sowed fields perishing in the drought-impacted regions.This devastating drought damaged up to 30% of 29,900 ha rice in2019"
37,"Lowland Rice",EAP,"Unsustainable land management practices","Leads to","Land degradation","Continuous rice cultivation, using unbalanced mineral fertilisers and only low inputs of organic manure, is in some situations seriously deteriorating the physical and chemical properties of the soil with adverse consequences on crop yields."
38,"Lowland Rice",EAP,"Limited uptake of modern technologies","Leads to","Reduced produce quality","On-farm deterioration in the quality of rice for sale, due to poor post-harvest management practices and inadequate storage conditions, is very significant in many areas and leads to reduced revenues from crop sales."
