"ID","Type2"
"1","Temperature related"
"2","Maritime related"
"3","Rainfall related"
"4","Rainfall related"
"5","Rainfall related"
"6","Biophysical"
"7","Biophysical"
"8","Biophysical"
"9","Biophysical"
"10","Biophysical"
"11","Biophysical"
"12","Biophysical"
"13","Biophysical"
"14","Biophysical"
"15","Biophysical"
"16","Biophysical"
"17","Biophysical"
"18","Biophysical"
"19","Biophysical"
"20","Socio-economic"
"21","Socio-economic"
"22","Socio-economic"
"23","Human capital"
"23","Gender and agricultural knowledge"
"24","Human capital"
"24","Gender and agricultural knowledge"
"25","Human capital"
"25","Gender and agricultural knowledge"
"26","Human capital"
"26","Gender and agricultural knowledge"
"27","Human capital"
"27","Gender and agricultural knowledge"
"28","Institutions and policies"
"29","Economic"
"29","Finance and markets"
"30","Economic"
"30","Finance and markets"
"31","Sensitivity and susceptibility to harm"
"32","Sensitivity and susceptibility to harm"
"33","Sensitivity and susceptibility to harm"
"34","Lack of capacity to cope and adapt"
"35","Lack of capacity to cope and adapt"
"36","Lack of capacity to cope and adapt"
"37","Lack of capacity to cope and adapt"
"38","Lack of capacity to cope and adapt"
"39","Lack of capacity to cope and adapt"
"40","Lack of capacity to cope and adapt"
"41","Lack of capacity to cope and adapt"
"42","Physical capital"
"43","Physical capital"
"44","Physical capital"
"45","Human capital"
"46","Human capital"
"47","Human capital"
"48","Human capital"
"49","Human capital"
"50","Human capital"
"51","Human capital"
"52","Human capital"
"53","Human capital"
"54","Political capital"
"55","Political capital"
"56","Political capital"
"57","Political capital"
"58","Political capital"
"59","Political capital"
"60","Financial capital"
"66","Maritime related"
"67","Season Related"
"68","Rainfall related"
"69","Maritime related"
"70","Maritime related"
"71","Maritime related"
"72","Season Related"
"73","Wind related"
"75","Biophysical"
"76","Biophysical"
"77","Biophysical"
"78","Biophysical"
"79","Biophysical"
"80","Biophysical"
"81","Biophysical"
"82","Biophysical"
"83","Biophysical"
"84","Biophysical"
"85","Biophysical"
"86","Biophysical"
"87","Biophysical"
"88","Biophysical"
"89","Biophysical"
"90","Biophysical"
"91","Socio-economic"
"92","Socio-economic"
"93","Socio-economic"
"94","Socio-economic"
"95","Socio-economic"
"96","Socio-economic"
"97","Socio-economic"
"98","Socio-economic"
"99","Human capital"
"99","Gender and agricultural knowledge"
"100","Human capital"
"100","Gender and agricultural knowledge"
"101","Human capital"
"101","Gender and agricultural knowledge"
"102","Human capital"
"102","Gender and agricultural knowledge"
"103","Institutions and policies"
"104","Economic"
"104","Finance and markets"
"105","Economic"
"105","Finance and markets"
