"FS name","FS macro region","Field","Resource ID","Resource year","Resource number"
"Lowland Rice","EAP","Countries","Dixon et al.","2001","1"
"Lowland Rice","EAP","Total population","Dixon et al.","2001","1"
"Lowland Rice","EAP","Agricultural population","Dixon et al.","2001","1"
"Lowland Rice","EAP","Total area","Dixon et al.","2001","1"
"Lowland Rice","EAP","Agro-ecological zone","Dixon et al.","2001","1"
"Lowland Rice","EAP","Cultivated area","Dixon et al.","2001","1"
"Lowland Rice","EAP","Irrigated area","Dixon et al.","2001","1"
"Lowland Rice","EAP","Cattle population","Dixon et al.","2001","1"
"Lowland Rice","EAP","Farming System","Dixon et al.","2001","1"
"Temperate Mixed","EAP","Countries","Dixon et al.","2001","7"
"Temperate Mixed","EAP","Total area","Dixon et al.","2001","7"
"Temperate Mixed","EAP","Agro-ecological zone","Dixon et al.","2001","7"
"Temperate Mixed","EAP","Farming System","Dixon et al.","2001","7"
"Upland Intensive Mixed","EAP","Countries","Dixon et al.","2001","2"
"Upland Intensive Mixed","EAP","Total area","Dixon et al.","2001","2"
"Upland Intensive Mixed","EAP","Agro-ecological zone","Dixon et al.","2001","2"
"Upland Intensive Mixed","EAP","Farming System","Dixon et al.","2001","2"
"Upland Intensive Mixed","EAP","Farming System","FAO","2018","1"
"Coastal plantation and mixed","LAC","Farming System","Dixon et al.","2001","5"
"Dryland mixed","LAC","Countries","Dixon et al.","2001","6"
"Dryland mixed","LAC","Total area","Dixon et al.","2001","6"
"Dryland mixed","LAC","Agro-ecological zone","Dixon et al.","2001","6"
"Dryland mixed","LAC","Farming System","Dixon et al.","2001","6"
"Forest based Livestock","LAC","Countries","Dixon et al.","2001","1"
"Forest based Livestock","LAC","Farming System","Dixon et al.","2001","1"
"High Altitude Mixed (C. Andes)","LAC","Countries","Dixon et al.","2001","3"
"High Altitude Mixed (C. Andes)","LAC","Total area","Dixon et al.","2001","3"
"High Altitude Mixed (C. Andes)","LAC","Agro-ecological zone","Dixon et al.","2001","3"
"High Altitude Mixed (C. Andes)","LAC","Farming System","Dixon et al.","2001","3"
