"Citation","Year","Number","Title","Resource type","URL"
"Abate et al.","2021","1","Introducing quality certification in staple food markets in Sub-Saharan Africa: Four conditions for successful implementation","Journal article","https://doi.org/10.1016/j.foodpol.2021.102173"
"Abiad et al.","2020","1","The Past and Future Role of Infrastructure in Asia’s Development","Journal","https://www.worldscientific.com/doi/pdf/10.1142/9789811215124_0001"
"Abiy et al.","2019","1","Chapter 22 - Drought and climate teleconnection and drought monitoring","Journal article","https://www.sciencedirect.com/science/article/pii/B9780128159989000221"
"Abubakar et al.","2021","1","Effects of Some Weather Parameters on Oil Palm Production in the Peninsular Malaysia","Journal article","https://www.preprints.org/manuscript/202106.0456/v1/download"
"Abumoghli and Goncalves","2016","1","ENVIRONMENTAL CHALLENGES IN THE MENA REGION","Research paper","https://wedocs.unep.org/bitstream/handle/20.500.11822/31645/EC_MENA.pdf?sequence=1&isAllowed=y"
"AbuZeid et al.","2021","1","Special Report on Drought 2021","UN Report","https://reliefweb.int/sites/reliefweb.int/files/resources/GAR"
"Acheampong et al.","2021","1","Research and Development for Improved Cassava Varieties in Ghana: Farmers’ Adoption and Effects on Livelihoods","Journal article","https://www.intechopen.com/chapters/76626"
"Adaawen et al.","2019","1","Chapter 2 - Drought, migration, and conflict in sub-Saharan Africa: what are the links and policy options?","Journal article","https://www.sciencedirect.com/science/article/abs/pii/B978012814820400002X"
"ADB","2008","1","Accelerating Financial Inclusion in South-East Asia with Digital Finance","ADB Report","https://www.adb.org/sites/default/files/publication/222061/financial-inclusion-se-asia.pdf"
"ADB","2012","1","Addressing Climate Change and Migration in Asia and the Pacific","ADB Report","https://www.adb.org/sites/default/files/publication/29662/addressing-climate-change-migration.pdf"
"ADB","2014","1","Assessing the Costs of Climate Change and Adaptation in South Asia","Report","https://www.adb.org/sites/default/files/publication/42811/assessing-costs-climate-change-and-adaptation-south-asia.pdf"
"ADB","2016","1","THE AFRICAN DEVELOPMENT BANK GROUP’S SECOND CLIMATE CHANGE ACTION PLAN (2016–2020)","ADB Report","https://www.afdb.org/fileadmin/uploads/afdb/Documents/Publications/AfricanDevelopmentBankClimateChangeActionPlan2016-2020.pdf"
"Addison et al.","2016","1","Agricultural Commodity Price Shocks and Their Effect on Growth in Sub-Saharan Africa","Journal article","https://onlinelibrary.wiley.com/doi/full/10.1111/1477-9552.12129"
"Adhikari et al.","2015","1","Climate change and eastern Africa: a review of impact on major crops","Journal article","https://doi.org/10.1002/fes3.61"
"Adhikari et al.","2015","2","Climate change and eastern Africa: a review of impact on major crops","Journal","https://onlinelibrary.wiley.com/doi/full/10.1002/fes3.61"
"Adjei-Nsiah et al.","2019","1","Influence of P Sources and Rhizobium Inoculation on Growth and Yield of Soybean Genotypes on Ferric Lixisols of Northern Guinea Savanna Zone of Ghana","Journal article","https://www.tandfonline.com/doi/abs/10.1080/00103624.2019.1589489"
"AFD AVILA et al.","2010","1","Agricultural Productivity in Latin America and the Caribbean and Sources of Growth.","Handbook of Agricultural Economics","https://www.alice.cnptia.embrapa.br/bitstream/doc/657209/1/Chapter71HandbookFlavio.pdf"
"AGNES","2020","1","Desertification and Climate Change in Africa","Policy Brief","https://agnes-africa.org/wp-content/uploads/2020/07/Policy-brief-1_Desertification-_Final_09032020.pdf"
"Agrifarm","2018","1","Cocoa Cultivation Information Guide","Website","https://www.agrifarming.in/cocoa-cultivation"
"Ahmed et al.","2021","1","Climate Change and Coffee Quality: Systematic Review on the Effects of Environmental and Management Variation on Secondary Metabolites and Sensory Attributes of Coffea arabica and Coffea canephora","Journal article","https://www.frontiersin.org/articles/10.3389/fpls.2021.708013/full"
"Aimée-Noël","2021","1","AFRICAN CITIES MUST PREPARE FOR CLIMATE MIGRATION","Report","https://www.preventionweb.net/news/african-cities-must-prepare-climate-migration"
"Aimée-Noël","2021","2","The continent will bear the brunt of global climate change impacts and must prepare for internal migration.","ISS Report","https://issafrica.org/iss-today/african-cities-must-prepare-for-climate-migration"
"Ajefu and Abiona","2020","1","The Mitigating Impact of Land Tenure Security on Drought-Induced Food Insecurity: Evidence from Rural Malawi","Journal","https://doi.org/10.1080/00220388.2020.1762862"
"Akam and Gruere","2018","1","Rice and risks in the Mekong Delta","OECD Report","https://doi.org/10.1787/15615529"
"Akhmouch","2012","1","Water Governance in Latin America and the Caribbean: A Multi-Level Approach”, OECD Regional Development Working Papers,",,"http://dx.doi.org/10.1787/5k9crzqk3ttj-en"
"Akinola et al.","2018","1","Women, Culture and Africa’s Land Reform Agenda","Journal article","https://www.frontiersin.org/articles/10.3389/fpsyg.2018.02234/full"
"Akinyi et al.","2021","1","Trade-offs and synergies of climate change adaptation strategies among smallholder farmers in sub-Saharan Africa: A systematic review.","Journal","https://doi.org/10.1016/j.regsus.2021.05.002"
"Akombi et al.","2017","1","Child malnutrition in sub-Saharan Africa: A meta-analysis of demographic and health surveys (2006-2016).","Journal","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5426674/"
"Akter","2021","1","Gender Inequality and Food Insecurity in the Asian Food System During the COVID-19 Pandemic","Report","https://www.adb.org/sites/default/files/institutional-document/731791/adou2021bp-gender-food-insecurity-covid-19.pdf"
