"D","R"
"connection_resources.Citation, connection_resources.ID","connection_resources.Number"
"experts.Email","experts.ID"
"experts.Email","experts.Organisation"
"experts.Email","experts.First name"
"experts.Email","experts.Middle name"
"experts.Email","experts.Last name"
"experts.ID","experts.Organisation"
"experts.ID","experts.First name"
"experts.ID","experts.Middle name"
"experts.ID","experts.Last name"
"experts.ID","experts.Email"
"experts.Last name","experts.ID"
"experts.Last name","experts.Organisation"
"experts.Last name","experts.First name"
"experts.Last name","experts.Middle name"
"experts.Last name","experts.Email"
"experts.First name","experts.ID"
"experts.First name","experts.Organisation"
"experts.First name","experts.Middle name"
"experts.First name","experts.Last name"
"experts.First name","experts.Email"
"experts.Organisation","experts.Middle name"
"expert_involvements.Date","expert_involvements.Domain"
"expert_involvements.Expert ID","expert_involvements.Domain"
"expert_involvements.Date, expert_involvements.FS name","expert_involvements.Expert ID"
"expert_involvements.Date, expert_involvements.FS name","expert_involvements.FS macro region"
"expert_involvements.Expert ID, expert_involvements.FS name","expert_involvements.FS macro region"
"expert_involvements.Expert ID, expert_involvements.FS name","expert_involvements.Date"
"expert_involvements.Domain, expert_involvements.FS macro region, expert_involvements.FS name","expert_involvements.Expert ID"
"expert_involvements.Domain, expert_involvements.FS macro region, expert_involvements.FS name","expert_involvements.Date"
"fs_factor_resources.Citation, fs_factor_resources.ID, fs_factor_resources.Year","fs_factor_resources.Number"
"fs_factors.ID","fs_factors.FS name"
"fs_factors.ID","fs_factors.FS macro region"
"fs_factors.ID","fs_factors.Factor"
"fs_factors.ID","fs_factors.Type-1"
"fs_factors.ID","fs_factors.Description"
"fs_factors.FS name, fs_factors.Factor","fs_factors.Type-1"
"connections.ID","connections.FS name"
"connections.ID","connections.FS macro region"
"connections.ID","connections.From"
"connections.ID","connections.Link type"
"connections.ID","connections.To"
"connections.ID","connections.Description"
"connections.Description","connections.Link type"
"connections.Description, connections.FS name","connections.FS macro region"
"connections.From, connections.To","connections.Link type"
"icm_resources.Resource number","icm_resources.FS name"
"icm_resources.Resource number","icm_resources.FS macro region"
"icm_resources.FS name","icm_resources.FS macro region"
"icm_resources.FS name","icm_resources.Resource number"
"icm_resources.FS macro region","icm_resources.FS name"
"icm_resources.FS macro region","icm_resources.Resource number"
"impact_chain_models.Description","impact_chain_models.Impact chain model"
"impact_chain_models.Description","impact_chain_models.FS macro region"
"impact_chain_models.FS macro region, impact_chain_models.Impact chain model","impact_chain_models.Description"
"fs_resources.FS name, fs_resources.Resource year","fs_resources.Resource ID"
"fs_resources.FS macro region, fs_resources.Resource year","fs_resources.Resource ID"
"fs_resources.FS macro region, fs_resources.Resource ID","fs_resources.Resource year"
"fs_resources.Field, fs_resources.Resource year","fs_resources.Resource ID"
"fs_resources.FS macro region, fs_resources.FS name, fs_resources.Resource year","fs_resources.Resource number"
"fs_resources.FS name, fs_resources.Resource ID, fs_resources.Resource number","fs_resources.Resource year"
"fs_resources.FS macro region, fs_resources.FS name, fs_resources.Resource ID","fs_resources.Resource number"
"resources.Citation, resources.Number, resources.Year","resources.Title"
"resources.Citation, resources.Number, resources.Year","resources.Resource type"
"resources.Citation, resources.Number, resources.Year","resources.URL"
"resources.Citation, resources.Number, resources.URL","resources.Resource type"
"resources.Citation, resources.Number, resources.URL","resources.Title"
"resources.Citation, resources.Number, resources.Resource type, resources.Title","resources.URL"
"commodity_resources.FS name, commodity_resources.Resource ID","commodity_resources.Resource year"
"commodity_resources.FS name, commodity_resources.Name","commodity_resources.Livelihood source"
"commodity_resources.Name, commodity_resources.Resource ID","commodity_resources.Resource number"
"commodity_resources.Livelihood source, commodity_resources.Resource ID","commodity_resources.Resource year"
"commodity_resources.Name, commodity_resources.Resource ID","commodity_resources.Resource year"
"commodity_resources.FS macro region, commodity_resources.Resource ID, commodity_resources.Resource number","commodity_resources.Resource year"
"commodity_soils.FS name, commodity_soils.Name","commodity_soils.Livelihood source"
"commodity_soils.Description, commodity_soils.FS name, commodity_soils.Soil type","commodity_soils.FS macro region"
"commodity_soils.Description, commodity_soils.FS name, commodity_soils.Livelihood source","commodity_soils.FS macro region"
"commodity_soils.FS macro region, commodity_soils.Name, commodity_soils.Soil type","commodity_soils.Description"
"commodity_soils.Description, commodity_soils.FS name, commodity_soils.Name","commodity_soils.FS macro region"
"taxonomies.NCBITaxonID","taxonomies.NCBITaxonName"
"taxonomies.NCBITaxonName","taxonomies.NCBITaxonID"
"commodities.FS name, commodities.Name","commodities.Average precipitation (mm)"
"commodities.FS name, commodities.Name","commodities.Livelihood source"
"commodities.FS name, commodities.Name","commodities.Max precipitation (mm)"
"commodities.FS name, commodities.Name","commodities.Min temperature  (°C)"
"commodities.FS name, commodities.Name","commodities.Min precipitation (mm)"
"commodities.FS name, commodities.Name","commodities.Max temperature (°C)"
"commodities.FS name, commodities.NCBITaxonID","commodities.Max THI"
"commodities.FS name, commodities.Name","commodities.Max THI"
"commodities.Max elevation (masl), commodities.Max precipitation (mm)","commodities.Min elevation (masl)"
"commodities.Max precipitation (mm), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.FS name, commodities.Name","commodities.Average temperature  (°C)"
"commodities.Max precipitation (mm), commodities.Min temperature  (°C)","commodities.Max temperature (°C)"
"commodities.Average temperature  (°C), commodities.Name","commodities.Min temperature  (°C)"
"commodities.FS name, commodities.NCBITaxonID","commodities.FS macro region"
"commodities.FS macro region, commodities.FS name, commodities.Name","commodities.NCBITaxonID"
