"Dependant","Referenced"
"type-1_labels.csv.Type-1 label","fs_factors.csv.Type-1"
"icm_resources.csv.Resource ID","resources.csv.Citation"
"icm_resources.csv.Resource ID","fs_resources.csv.Resource ID"
"icm_resources.csv.Resource ID","fs_factor_resources.csv.Citation"
"icm_resources.csv.Resource ID","connection_resources.csv.Citation"
"icm_resources.csv.Resource ID","commodity_resources.csv.Resource ID"
"commodity_resources.csv.FS name","impact_chain_models.csv.Impact chain model"
"commodity_resources.csv.FS name","fs_resources.csv.FS name"
"commodity_resources.csv.FS name","fs_livelihood_sources.csv.FS name"
"commodity_resources.csv.FS name","fs_factors.csv.FS name"
"commodity_resources.csv.FS name","fs_country_assignments.csv.Farming system"
"commodity_resources.csv.FS name","farming_systems.csv.Farming system"
"commodity_resources.csv.FS name","expert_involvements.csv.FS name"
"commodity_resources.csv.FS name","connections.csv.FS name"
"commodity_resources.csv.FS name","commodities.csv.FS name"
"connections.csv.Link type","connection_link_types.csv.Link type"
"fs_country_assignments.csv.FS macro region","impact_chain_models.csv.FS macro region"
"fs_country_assignments.csv.FS macro region","fs_resources.csv.FS macro region"
"fs_country_assignments.csv.FS macro region","fs_livelihood_sources.csv.FS macro region"
"fs_country_assignments.csv.FS macro region","fs_landscapes.csv.FS macro region"
"fs_country_assignments.csv.FS macro region","fs_factors.csv.FS macro region"
"fs_country_assignments.csv.FS macro region","farming_systems.csv.Macro region"
"fs_country_assignments.csv.FS macro region","expert_involvements.csv.FS macro region"
"fs_country_assignments.csv.FS macro region","dixon_macro_regions.csv.Label"
"fs_country_assignments.csv.FS macro region","connections.csv.FS macro region"
"fs_country_assignments.csv.FS macro region","commodity_soils.csv.FS macro region"
"fs_country_assignments.csv.FS macro region","commodity_resources.csv.FS macro region"
"fs_country_assignments.csv.FS macro region","commodities.csv.FS macro region"
"connections.csv.FS macro region","impact_chain_models.csv.FS macro region"
"connections.csv.FS macro region","fs_resources.csv.FS macro region"
"connections.csv.FS macro region","fs_livelihood_sources.csv.FS macro region"
"connections.csv.FS macro region","fs_landscapes.csv.FS macro region"
"connections.csv.FS macro region","fs_factors.csv.FS macro region"
"connections.csv.FS macro region","fs_country_assignments.csv.FS macro region"
"connections.csv.FS macro region","farming_systems.csv.Macro region"
"connections.csv.FS macro region","expert_involvements.csv.FS macro region"
"connections.csv.FS macro region","dixon_macro_regions.csv.Label"
"connections.csv.FS macro region","commodity_soils.csv.FS macro region"
"connections.csv.FS macro region","commodity_resources.csv.FS macro region"
"connections.csv.FS macro region","commodities.csv.FS macro region"
"M49_Regions.csv.M49","M49_Sub-regions.csv.Region Code"
"M49_Regions.csv.M49","fs_factors.csv.ID"
"M49_Regions.csv.M49","fs_factor_type-2_assignments.csv.ID"
"M49_Regions.csv.M49","fs_factor_tags.csv.ID"
"M49_Regions.csv.M49","fs_factor_resources.csv.ID"
"M49_Regions.csv.M49","connections.csv.ID"
"M49_Regions.csv.M49","connection_tags.csv.ID"
"M49_Regions.csv.M49","connection_resources.csv.ID"
"M49_Intermediate_Regions.csv.Intermediate Region Code","M49_Countries.csv.Intermediate Region Code"
"M49_Intermediate_Regions.csv.Intermediate Region Code","fs_factors.csv.ID"
"M49_Intermediate_Regions.csv.Intermediate Region Code","fs_factor_tags.csv.ID"
"M49_Intermediate_Regions.csv.Intermediate Region Code","connections.csv.ID"
"M49_Intermediate_Regions.csv.Intermediate Region Code","connection_tags.csv.ID"
"M49_Intermediate_Regions.csv.Intermediate Region Code","connection_resources.csv.ID"
"icm_resources.csv.Resource number","resources.csv.Number"
"icm_resources.csv.Resource number","fs_resources.csv.Resource number"
"icm_resources.csv.Resource number","fs_factors.csv.ID"
"icm_resources.csv.Resource number","fs_factor_type-2_assignments.csv.ID"
"icm_resources.csv.Resource number","fs_factor_tags.csv.ID"
"icm_resources.csv.Resource number","fs_factor_resources.csv.ID"
"icm_resources.csv.Resource number","fs_factor_resources.csv.Number"
"icm_resources.csv.Resource number","farming_systems.csv.Farm size (ha)"
"icm_resources.csv.Resource number","experts.csv.ID"
"icm_resources.csv.Resource number","expert_involvements.csv.Expert ID"
"icm_resources.csv.Resource number","connections.csv.ID"
"icm_resources.csv.Resource number","connection_tags.csv.ID"
"icm_resources.csv.Resource number","connection_resources.csv.ID"
"icm_resources.csv.Resource number","connection_resources.csv.Number"
"icm_resources.csv.Resource number","commodities.csv.Min temperature  (°C)"
"commodity_resources.csv.FS macro region","impact_chain_models.csv.FS macro region"
"commodity_resources.csv.FS macro region","fs_resources.csv.FS macro region"
"commodity_resources.csv.FS macro region","fs_livelihood_sources.csv.FS macro region"
"commodity_resources.csv.FS macro region","fs_landscapes.csv.FS macro region"
"commodity_resources.csv.FS macro region","fs_factors.csv.FS macro region"
"commodity_resources.csv.FS macro region","fs_country_assignments.csv.FS macro region"
"commodity_resources.csv.FS macro region","farming_systems.csv.Macro region"
"commodity_resources.csv.FS macro region","expert_involvements.csv.FS macro region"
"commodity_resources.csv.FS macro region","dixon_macro_regions.csv.Label"
"commodity_resources.csv.FS macro region","connections.csv.FS macro region"
"commodity_resources.csv.FS macro region","commodity_soils.csv.FS macro region"
"commodity_resources.csv.FS macro region","commodities.csv.FS macro region"
