TempCount,"FS name","FS macro region","From","Link type","To","Description","Citation","Year","URL","ID"
1,"Lowland Rice","EAP","Rising sea levels","Leads to","Soil salinisation","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050","Thuy Le Toan, et al","2021",,"2"
2,"Lowland Rice","EAP","Rising sea levels","Leads to","Soil salinisation","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","2"
3,"Lowland Rice","EAP","Rising sea levels","Leads to","Soil salinisation","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050","Nguyen","2016",,"2"
4,"Lowland Rice","EAP","Rising sea levels","Leads to","Soil salinisation","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050","Eslami et al.","2019",,"2"
5,"Lowland Rice","EAP","Rising sea levels","Leads to","Soil salinisation","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050","Smajgl et al.","2015",,"2"
6,"Lowland Rice","EAP","Increase in average precipitation","Leads to","Increased flooding
","Seasonal river flooding, which coincides with the rainy season that runs from May to November, plays a critical role in the health of the Mekong river system. These floods deposit sediments, which improve soil fertility, flush out polluted waters, and recharge the groundwater tables. However, excessive flooding during the rainy season are becoming more frequent, and structural elements are not expected to hold up under an increasingly severe climate regime, which is driving sea-level rise (SLR) and changing meteorological and hydrological conditions.Changes in climate are also causing flooding and drought in Lao PDR","CCAFS,2016Nguyen et al., 2017,Thuy Le Toan, et al, 2021Chapman & Darby, 2016,Ling et al.","2015",,"3"
7,"Lowland Rice","EAP","Increase in average precipitation","Leads to","Siltation/sedimentation of rivers","Floods deposit sediments downstream in the rice fields. The floods  improve soil fertility, flush out polluted waters, and recharge the groundwater tables.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","4"
8,"Lowland Rice","EAP","Increase in average precipitation","Leads to","Siltation/sedimentation of rivers","Floods deposit sediments downstream in the rice fields. The floods  improve soil fertility, flush out polluted waters, and recharge the groundwater tables.","Nguyen et al.","2017","https://ccafs.cgiar.org/resources/publications/climate-smart-agriculture-vietnam","4"
9,"Lowland Rice","EAP","Increase in average precipitation","Leads to","Siltation/sedimentation of rivers","Floods deposit sediments downstream in the rice fields. The floods  improve soil fertility, flush out polluted waters, and recharge the groundwater tables.","Thuy Le Toan, et al","2021",,"4"
10,"Lowland Rice","EAP","Increase in average precipitation","Leads to","Siltation/sedimentation of rivers","Floods deposit sediments downstream in the rice fields. The floods  improve soil fertility, flush out polluted waters, and recharge the groundwater tables.","Chapman & Darby","2016","https://doi.org/10.1016/j.scitotenv.2016.02.162 ","4"
11,"Lowland Rice","EAP","Decrease in average precipitation","Leads to","Reduced crop productivity/failure","Rainfall is greatly reduced in the Mekong and Red River deltas in the dry season. The annual rainy season tends to start late and to end early, resulting in a decrease in rainfall and runoff.  Reduced rainfall causes thousands of hectares of rice in the spring crop to suffer from drought or from reduction in irrigation water every year.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","5"
12,"Lowland Rice","EAP","Decrease in average precipitation","Leads to","Reduced crop productivity/failure","Rainfall is greatly reduced in the Mekong and Red River deltas in the dry season. The annual rainy season tends to start late and to end early, resulting in a decrease in rainfall and runoff.  Reduced rainfall causes thousands of hectares of rice in the spring crop to suffer from drought or from reduction in irrigation water every year.","Nguyen et al.","2017",,"5"
13,"Lowland Rice","EAP","Decrease in average precipitation","Leads to","Reduced crop productivity/failure","Rainfall is greatly reduced in the Mekong and Red River deltas in the dry season. The annual rainy season tends to start late and to end early, resulting in a decrease in rainfall and runoff.  Reduced rainfall causes thousands of hectares of rice in the spring crop to suffer from drought or from reduction in irrigation water every year.","Thuy Le Toan, et al","2021",,"5"
14,"Lowland Rice","EAP","Decrease in average precipitation","Leads to","Reduced crop productivity/failure","Rainfall is greatly reduced in the Mekong and Red River deltas in the dry season. The annual rainy season tends to start late and to end early, resulting in a decrease in rainfall and runoff.  Reduced rainfall causes thousands of hectares of rice in the spring crop to suffer from drought or from reduction in irrigation water every year.","Dinh, T., & Dang, T","2022",,"5"
