ID,"Label","FS name",FS macro region,"Type-1","Description"
1,"Increase in average temperatures","Lowland Rice",EAP,"Hazard","Increase in Temperature of 0.02-0.03 °C per year by 2050 across the entire region is expected"
2,"Rising sea levels","Lowland Rice",EAP,"Hazard","The tides are rising at a rate close to ~2 cm/year, and salinity has increased by approximately 0.2–0.5 PSU/year.  Sea levels are expected to rise in the region by 45-75 cm by 2090.  Average sea level rise of 3 mm per year over the last 30 years . This is a major threat to a part of the world which, on average, is less than 2 metres above sea level."
3,"Increase in drought events","Lowland Rice",EAP,"Hazard","The risk of drought often occurs during the Winter-Spring rice crops, particularly in El Niño years. Severe drought years such as 1977–1978, 1997–1998, 2015–2016 and 2019–2020 are all related to El Niño events, which greatly affect production and life in the Mekong Delta. During low river flow periods, between March and April, saline water intrudes up to 40–50 km inland from estuaries through main river systems  and about 100,000 ha of rice annually is at high risk of dry-season salinity intrusion."
4,"Increase in average precipitation","Lowland Rice",EAP,"Hazard","In recent years, farmers in many provinces have had to readjust the crop calendar, to rotate rice with short-term crops, or to convert their rice land to aquaculture. It is worth noting that the rate of increase in aquaculture area in the Mekong Delta experienced an important surge after El Ninõ 2015–2016 (mean annual increase of 18.3 T ha in 2016–2019, as compared to 4.25 T ha in 2008–2015). Rainfall has increased at the end of the rainy season but decreased at the beginning of the rainy season over the last 10 years. Shifting rainfall patterns such as these can have an adverse effect on the agricultural productivity of the Mekong Delta. A 30% annual increase in precipitation has been observed."
5,"Decrease in average precipitation","Lowland Rice",EAP,"Hazard","The temperature has increased, annual rainfall has decreased and is distributed less evenly, and the dry season lasts longer. Results indicate a significant downward trend in rainfall in the Kien Giang, Soc Trang, and Ca Mau provinces, where the rice-growing areas are mainly based on rainfall. Therefore, these areas have a potential risk of water shortages, resulting in increased production costs especially during the winter-spring crop season, and a rice productivity decline, which would indirectly contribute to threatening the food security of the region and Vietnam as a whole."
6,"Saline intrusion","Lowland Rice",EAP,"Impact","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050. Coastal provinces are strongly affected by saline intrusion from the second half of December to the end of April. Recently, saline intrusions tend to occur earlier, with increased salinity concentrations and duration, and are more invasive in the fields. Salinity intrusion is associated with low water discharge from upstream of the Mekong River. This is caused by the below average rainfall in the Mekong basin due to the El Niño. With insufficient upstream water flow to push back seawater, salinity intrusion increased in concentration and duration. It was also aggravated by the drought and high temperature in the region. Salinity intrusion is also caused by the construction of dams further upstream on the Mekong River and dams on the lower Mekong River, which reduce water flow and prevent the renewal of the delta silt deposits."
7,"Shorter growing seasons","Lowland Rice",EAP,"Impact","In recent years, farmers in many provinces have had to readjust the crop calendar, to rotate rice with short-term crops, or to convert their rice land to aquaculture. It is worth noting that the rate of increase in aquaculture area in the Mekong Delta experienced an important surge after El Ninõ 2015–2016 (mean annual increase of 18.3 T ha in 2016–2019, as compared to 4.25 T ha in 2008–2015)."
8,"Increased flooding","Lowland Rice",EAP,"Impact","Seasonal river flooding, which coincides with the rainy season that runs from May to November, plays a critical role in the health of the Mekong river system. These floods deposit sediments, which improve soil fertility, flush out polluted waters, and recharge the groundwater tables. However, excessive flooding during the rainy season are becoming more frequent, and structural elements are not expected to hold up under an increasingly severe climate regime, which is driving sea-level rise (SLR) and changing meteorological and hydrological conditions. Chnages in climate are also causing flooding and drought in Lao PDR "
9,"Water scarcity","Lowland Rice",EAP,"Impact","The Mekong Delta is one of a number of localised agricultural regions in the world that face acute water risks, which we have identified as water-risk “hotspots” that require a targeted policy response. These water risks are not only the result of climate change but involve a range of factors, including farming itself, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping."
10,"Reduced crop productivity/failure","Lowland Rice",EAP,"Impact","Climate change by 2050 will cause a significant reduction in rice yield, but the projections  depend on the rice crop season and the geographical area. Vast tracks of land planted with rice are affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss. Shifting rainfall patterns  have an adverse effect on the agricultural productivity of the Mekong Delta.  Estimates of changes in crop productivity due to climate change are in the range of 2-30% over a 20-30 year period."
11,"Soil salinisation","Lowland Rice",EAP,"Impact",
12,"Siltation/sedimentation of rivers","Lowland Rice",EAP,"Impact",
13,"Change in production zone suitability","Lowland Rice",EAP,"Impact",
14,"Reduced water quality","Lowland Rice",EAP,"Impact",
15,"Elevation loss","Lowland Rice",EAP,"Impact",
16,"Land degradation","Lowland Rice",EAP,"Impact",
17,"Reduced produce quality","Lowland Rice",EAP,"Impact",
18,"Sediment starvation","Lowland Rice",EAP,"Impact",
19,"Coastal inundation","Lowland Rice",EAP,"Impact","A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation."
20,"Increase in food spoilage/wastage","Lowland Rice",EAP,"Impact","The emergence of severe droughts in the Mekong Delta has resulted in huge crop failures, with 90% of sowed fields perishing in the drought-impacted regions.This devastating drought damaged up to 30% of 29,900 ha rice in2019"
21,"Increase in food insecurity","Lowland Rice",EAP,"Impact","Frequent droughts and reduced crop productivity in various countries is increasing the threats of food insecurity."
22,"Dependence on food aid","Lowland Rice",EAP,"Impact","Vietnam recorded an extreme drought event in 2019 in 5 of 13 provinces in the Mekong Delta, and an emergency was declared. New Zealand Embassy announced humanitarian aid, totalling US$50,000, to communities in Ben Tre Province affected by drought and saltwater intrusion."
23,"Limited uptake of modern technologies","Lowland Rice",EAP,"Vulnerability","The capacity of agencies to provide accurate information for drought and salinity forecasting and early warning systems is limited. The distribution of updated information on salinity levels is slow. In Vietnam, it takes a long time until salinity measurements reach the farmers. Collected information has to first be elevated to and approved by high-level decision makers before it is distributed to the local level. Thus, farmers get outdated information on salinity. It would be beneficial if the process would be smoother and the information flow more direct without passing many entities."
24,"Unsustainable natural resource use","Lowland Rice",EAP,"Vulnerability","Sand mining is commonly practiced in along Mekong Delta"
25,"Unsustainable land management practices","Lowland Rice",EAP,"Vulnerability","On-farm deterioration in the quality of rice for sale, due to poor post-harvest management practices and inadequate storage conditions, is very significant in many areas and leads to reduced revenues from crop sales"
26,"Dependence on groundwater","Lowland Rice",EAP,"Vulnerability",
27,"Major component of local diet","Lowland Rice",EAP,"Vulnerability","Rice, the main staple of the Vietnamese diet, occupies 94% of arable land, is cultivated in all regions, and is the top crop in terms of planted area in 5 of the regions. Lowland rice farmin is also the main occupation for rural people in Savannakhet Province in Laos."
28,"Inconsistencies in policy implementation","Lowland Rice",EAP,"Vulnerability","Inconsistencies were observed in subsidy policies being implemented. During the winter spring season, farmers were recommended to reduce their planted areas to avoid losses. However, subsidies were only provided to farmers who had planted rice regardless of the warnings. The farmers who followed the recommendations did not receive any subsidy and/or support."
29,"Large contributor to national GDP","Lowland Rice",EAP,"Vulnerability","The Mekong River Delta (MRD) is the rice basket of Vietnam producing 56% of the total domestic rice production and accounting for 90% of Vietnam’s rice export. Over 1.7 million hectares of land, more than half of the total arable land in the region, are being used for rice production."
30,"Low access to markets","Lowland Rice",EAP,"Vulnerability"," Developing markets for by-products  such as rice straws could be one option to reduce vulnerability of the farmers to salinity intrusion. "
31,"Unfavourable soil conditions","Lowland Rice",EAP,"Vulnerability","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities."
32,"Water scarce area","Lowland Rice",EAP,"Vulnerability","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities."
33,"Fragmented landscapes","Lowland Rice",EAP,"Vulnerability","Increasing fragmentation of farmland has resulted from a growing agricultural population and the absence of primogeniture to maintain the integrity of holdings. In many instances farm sizes are now uneconomic, and even with the adoption of best practices would still only be marginal in terms of livelihood. If this trend is not reversed, an increasing proportion of farmers will be unable to rely on agriculture to ensure adequate food security and income levels. As a consequence, on-farm employment, and even complete exit from the system (e.g. permanent migration to urban areas), is likely to occur on a much larger scale."
34,"Lack of irrigation infrastructure ","Lowland Rice",EAP,"Vulnerability","Lack of irrigation water is affecting productivity in the lowland system. For instance, the low yield in Winter-Spring rice in Tra Vinh could be linked to the lack of irrigation water and saline intrusion during the dry season."
35,"Barrier to natural flows due to  infrastructure ","Lowland Rice",EAP,"Vulnerability","Hydropower dam construction forms barrier to flow of water and sediment. "
36,"Lack of access to improved crop varieties","Lowland Rice",EAP,"Vulnerability","Farmers’ knowledge and adoption of salinity- and drought-tolerant rice varieties is also limited, as these have seedling stage tolerance and are appropriate for the spring-summer cropping."
