"Resource","Year","ID","Number"
"Odhong' et al.","2019","158","1"
"Odhong' et al.","2019","159","1"
"Abiy et al.","2019","1482","1"
"Abiy et al.","2019","1455","1"
"Abiy et al.","2019","1456","1"
"AbuZeid et al.","2021","424","1"
"Acheampong et al.","2021","2355","1"
"Acheampong et al.","2021","2336","1"
"ADB","2014","1342","1"
"ADB","2014","1301","1"
"ADB","2014","1234","1"
"ADB","2014","1235","1"
"ADB","2014","1236","1"
"ADB","2014","1237","1"
"ADB","2014","1238","1"
"ADB","2014","1239","1"
"ADB","2014","1240","1"
"ADB","2014","1241","1"
"ADB","2014","1233","1"
"Addison et al.","2016","2245","1"
"AFD AVILA et al.","2010","459","1"
"AFD AVILA et al.","2010","465","1"
"AGNES","2020","2321","1"
"Aimée-Noël","2021","1970","1"
"Akam & Gruere","2018","6",
"Akam & Gruere","2018","22",
"Akam & Gruere","2018","78",
"Akam & Gruere","2018","18",
"Akam & Gruere","2018","49",
"Akam & Gruere","2018","50",
"Akam & Gruere","2018","63",
"Akam & Gruere","2018","88",
"Akam & Gruere","2018","80",
"Akam & Gruere","2018","81",
"Akam & Gruere","2018","79",
"Akam & Gruere","2018","17",
"Akinola et al.","2018","2216","1"
"Akinola et al.","2018","2218","1"
"Akinyi et al.","2021","1785","1"
"Akombi et al.","2017","1754","1"
"Akter","2021","273","1"
"Akter","2021","274","1"
"Alam et al.","2021","1520","1"
"Alam et al.","2021","1523","1"
"Alemayehu and Bewket","2016","1888","1"
"Almeida","2015","699","1"
"Almudi & Sinclair","2022","564",
"Almudi & Sinclair","2022","580",
"Almudi & Sinclair","2022","582",
"Alphonce Shiundu","2018","2213","1"
"Alpízar et al.","2020","462","1"
"Alpízar et al.","2020","470","1"
"Amin et al.","2015","1470","1"
"Amin et al.","2015","1500","1"
"Amin et al.","2015","1488","1"
"Amin et al.","2015","1477","1"
"Amin et al.","2015","1462","1"
"Amin et al.","2015","1459","1"
"Amin et al.","2015","1449","1"
"Amin et al.","2015","1450","1"
"Amir Kassam et al.","2022","1786","1"
"Amir Kassam et al.","2022","1712","1"
"Amir Kassam et al.","2022","1705","1"
"Amir Kassam et al.","2022","1709","1"
"Amir Kassam et al.","2022","1756","1"
"Amir Kassam et al.","2022","1794","1"
"Amir Kassam et al.","2022","1799","1"
"Amir Kassam et al.","2022","1717","1"
"Amir Kassam et al.","2022","1760","1"
"Amir Kassam et al.","2022","1784","1"
"Amir Kassam et al.","2022","1806","1"
"Amir Kassam et al.","2022","1807","1"
"Amir Kassam et al.","2022","1724","1"
"Amir Kassam et al.","2022","1729","1"
"Amir Kassam et al.","2022","1702","1"
"Anbumozhi et al.","2012","184","1"
"Anbumozhi et al.","2012","185","1"
"Anbumozhi et al.","2012","116","1"
"Anbumozhi et al.","2012","122","1"
"Architesh.","2019","1315","1"
"Armenteras et al.","2021","599","1"
"Arshad et al.","2016","1446","1"
"Arshad et al.","2016","1390","1"
"Arshad et al.","2016","1393","1"
"Arshad et al.","2016","1409","1"
"Arshad et al.","2016","1375","1"
"Arshad et al.","2016","1382","1"
"Arshad et al.","2016","1372","1"
"Arshad et al.","2016","1384","1"
"Arshad et al.","2016","1370","1"
"Arshad et al.","2016","1447","1"
"Arshad et al.","2016","1403","1"
"Arshad et al.","2016","1394","1"
"Arshad et al.","2016","1426","1"
"Arshad et al.","2016","1427","1"
"Arshad et al.","2016","1428","1"
"Arshad et al.","2016","1439","1"
"Arshad et al.","2016","1385","1"
"Arshad et al.","2016","1386","1"
"Arshad et al.","2016","1419","1"
"Aryal et al.","2019","1255","1"
"Aryal et al.","2020","1529","1"
"Aryal et al.","2020","1530","1"
"Aryal et al.","2020","1495","1"
"Aryal et al.","2020","1472","1"
"Aryal et al.","2020","1473","1"
"Aryal et al.","2020","1476","1"
"Aryal et al.","2020","1518","1"
"Aryal et al.","2020","1531","1"
"Aryal et al.","2020","1526","1"
"Aryal et al.","2020","1508","1"
"Aryal et al.","2020","1497","1"
"Aryal et al.","2020","1493","1"
"Aryal et al.","2020","1509","1"
"Aryal et al.","2020","1506","1"
"Aryal et al.","2020","1475","1"
"Aryal et al.","2020","1483","1"
"Aryal et al.","2020","1485","1"
"Aryal et al.","2020","1448","1"
"Aryal et al.","2020","1502","1"
"Aryal et al.","2020","1346","1"
"Aryal et al.","2020","172","1"
"Aryal et al.","2020","199","1"
"Aryal et al.","2021","1448","1"
"Aryal et al.","2021","1478","1"
"Aryal et al.","2021","1479","1"
"Aryal et al.","2021","1489","1"
"Aryal et al.","2021","1453","1"
"Aryal et al.","2021","1460","1"
"ASEAN","2021","262","1"
"ASEAN","2021","260","1"
"ASEAN","2021","217","1"
"ASEAN","2021","222","1"
"ASEAN","2021","235","1"
"ASEAN","2021","236","1"
"ASEAN","2021","216","1"
"ASEAN","2021","218","1"
"ASEAN","2021","219","1"
"Ashfaq et al.","2015","904","1"
"Asmamaw et al.","2021","1751","1"
"Aulakh & Sidhu","2015","1481",
"Ayantunde at al.","2011","1650","1"
"Ayantunde at al.","2011","1665","1"
"Ayantunde at al.","2011","1665","1"
"Ayantunde at al.","2011","1614","1"
"Ayantunde at al.","2011","1615","1"
"Ayantunde at al.","2011","1624","1"
"Ayantunde at al.","2011","1558","1"
"Ayantunde at al.","2011","1559","1"
"Baird et al.","2021","60","1"
"Bandyopadhyay","2007","1287","1"
"Banerjee et al.","2021","343","1"
"Banerjee et al.","2021","332","1"
"Banerjee et al.","2021","334","1"
"Banerjee et al.","2021","333","1"
