Resource,Tags,ID
,,1
"(Thuy Le Toan et al, 2021); (Akam & Gruere, 2018); (CCAFS,2016); (Eslami et al., 2019); Smajgl et al., 2015);(Cramb et al., 2015)",Maritime related,2
"(Thuy Le Toan, et al, 2021); (CCAFS,2016); (Dinh, T., & Dang, T, 2022) ;(Lee & Dang, 2016)",Rainfall related,3
"(Thuy Le Toan, et al, 2021); (CCAFS,2016)",Rainfall related,4
"(Thuy Le Toan et al, 2021); (Dinh, T., & Dang, T, 2022)",Rainfall related,5
"(Thuy Le Toan et al, 2021); (CCAFS, 2016); (Yen et al., 2019); (Claudia& Renaud, 2012); (CCFAS, 2016); (Smajgl et al, 2015)",Biophysical,6
"(Thuy Le Toan, et al, 2021)",Biophysical,7
"(Thuy Le Toan, et al, 2021); (Ling et al., 2015); (Yen et al., 2019); (Claudia& Renaud, 2012);(Cramb et al., 2015)",Biophysical,8
"(Akam & Gruere, 2018); (CCAFS,2016); (Thuy Le Toan, et al, 2021)",Biophysical,9
"(Thuy Le Toan, et al, 2021); (CCAFS,2016);(Yen et al., 2019);(Cramb et al., 2015)",Biophysical,10
,Biophysical,11
,Biophysical,12
,Biophysical,13
,Biophysical,14
,Biophysical,15
,Biophysical,16
,Biophysical,17
,Biophysical,18
"(Akam & Gruere, 2018)",Biophysical,19
"(OXFAM, 2016); (CCAFS,2016); (Akam & Gruere, 2018); (Thuy Le Toan, et al, 2021); (Smajgl et al , 2015)",socioeconomic,20
"(OXFAM, 2016),(CCAFS,2016),(Akam & Gruere, 2018)(Yen et al., 2019)",socioeconomic,21
"(CCAFS,2016); (OXFAM, 2016); (Dinh, T., & Dang, T, 2022)",socioeconomic,22
"(CCAFS,2016); (Chapman & Darby, 2016)","Human capacity, agri knowledge,weather and environment",23
"(Thuy Le Toan et al., 2021)","Agricultural knowledge, infrastructure, location specific",24
"(Dixon et al., 2001)","Human capacity, agri knowledge, farm level",25
,,26
"(CCAFS,2016); (Yen et al., 2019); (Thuy Le Toan et al., 2021);(Baird et al,. 2021)","Human capacity, agri knowledge, farm level",27
"(CCAFS, 2016)","Institutions and policy, weather and environment",28
"(Yen et al., 2019)","Economic, finance and markets",29
"(CCAFS,2016)","Market, finance",30
"(OXFAM, 2016)",Sensitivity/,31
"(OXFAM, 2016)",Sensitivity/,32
"(Dixon et al., 2001)",Sensitivity/susceptibility to harm,33
"(Thuy Le Toan, et al, 2021); (Chapman & Darby, 2016); (Claudia& Renaud, 2012); (Dixon et al., 2001)",biophysical and technology,34
"(CCFAS, 2016); (Yen et al., 2019)",,35
"(CCAFS,2016); (Akam & Gruere, 2018)","Human capacity, climate awareness",36
"(Dixon et al., 2001)","Human capacity, climate awareness",36
"(CCAFS,2016); (Akam & Gruere, 2018)","Human capacity, climate awareness",37
"(Dixon et al., 2001)","Human capacity, climate awareness",37
,,38
,,39
,,40
"(Dixon et al., 2001)",Lack of capacity to cope and adapt,41
"(CCAFS,2016); (Chapman & Darby, 2016)",Infrastructure,42
"(Ling et al., 2015); (Chapman & Darby, 2016)",Infrastructure,43
"(CCAFS,2016)","Technology, infrastructure",44
"(Thuy Le Toan, et al, 2021); (Yen et al., 2019); (CCAFS 2016);(Cramb et al., 2015)","socioeconomic, farm level",45
"(CCAFS,2016); (Claudia& Renaud, 2012)","Technology, Governance",46
"(CCAFS,2016)","Capacity building, research, climate smart agriculture",47
"(CCAFS,2016)","Capacity building, conservation agriculture",48
"(CCAFS,2016); (Cramb et al., 2015);(Nguyen et al., 2017);Tran et al., 2019)","Technology, capacity building, research and development",49
"(CCAFS,2016); (Cramb et al., 2015);(Nguyen et al., 2017);Tran et al., 2019)","Partnerships required, community level, capacity building",50
"(Dixon et al., 2001;Cramb et al., 2015; CCAFS,2016))","Human capacity, research and development",51
,,52
